CONIDX,CONIPOS,CONJPOS,SGAS,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,WELLMODEL,DEPTH,PRESSURE,CONKPOS
12,29,41,0.0,R_A3,0.047512125223875046,0,2018-07-03,294.7013244628906,STANDARD,1621.184326171875,294.7013244628906,11
13,29,41,0.0,R_A3,0.054371412843465805,0,2018-07-03,294.8538818359375,STANDARD,1623.462890625,294.8538818359375,12
14,29,41,0.0,R_A3,0.361307293176651,0,2018-07-03,295.00677490234375,STANDARD,1625.741455078125,295.00677490234375,13
15,29,41,0.0,R_A3,0.4575485587120056,0,2018-07-03,295.8227844238281,STANDARD,1630.298583984375,295.8227844238281,15
16,29,41,0.0,R_A3,0.7921794652938843,0,2018-07-03,295.9565124511719,STANDARD,1632.254150390625,295.9565124511719,16
17,29,41,0.0,R_A3,0.6491972804069519,0,2018-07-03,286.3608703613281,STANDARD,1634.841064453125,286.3608703613281,26
18,29,41,0.0,R_A3,0.042973969131708145,0,2018-07-03,286.58367919921875,STANDARD,1638.3824462890625,286.58367919921875,27
19,29,41,0.0,R_A3,0.04830707237124443,0,2018-07-03,286.82037353515625,STANDARD,1641.923828125,286.82037353515625,28
20,29,41,0.0,R_A3,0.790387749671936,0,2018-07-03,291.3756408691406,STANDARD,1645.46533203125,291.3756408691406,29
21,29,41,0.0,R_A3,0.062271393835544586,0,2018-07-03,287.21453857421875,STANDARD,1649.0067138671875,287.21453857421875,30
1,30,52,0.0,R_A4,0.08666163682937622,0,2018-09-12,281.42498779296875,STANDARD,1631.915771484375,281.42498779296875,1
2,31,52,0.0,R_A4,0.12309356033802032,0,2018-09-12,281.1824951171875,STANDARD,1627.0445556640625,281.1824951171875,1
3,31,52,0.0,R_A4,0.04900158941745758,0,2018-09-12,281.3191833496094,STANDARD,1629.093994140625,281.3191833496094,2
4,31,52,0.0,R_A4,0.0508025698363781,0,2018-09-12,281.45587158203125,STANDARD,1631.1435546875,281.45587158203125,3
5,31,52,0.0,R_A4,0.052319563925266266,0,2018-09-12,281.59259033203125,STANDARD,1633.1929931640625,281.59259033203125,4
6,32,52,0.0,R_A4,0.05345398187637329,0,2018-09-12,281.62835693359375,STANDARD,1632.832275390625,281.62835693359375,4
7,32,52,0.0,R_A4,0.09572171419858932,0,2018-09-12,281.75250244140625,STANDARD,1634.6927490234375,281.75250244140625,5
