CONIDX,SWAT,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,WELL,DEPTH
23,1.0,STANDARD,29,3.7823521723256835e-17,303.7967529296875,29,303.7967529296875,2018-03-01,22,0,R_A2,1681.6221923828125
24,1.0,STANDARD,30,6.348275159220638e-19,303.9737548828125,29,303.9737548828125,2018-03-01,22,0,R_A2,1683.3831787109375
1,1.0,STANDARD,1,-9.269737755168705e-13,261.62298583984375,20,261.62298583984375,2018-04-28,31,0,R_A5,1684.7467041015625
2,1.0,STANDARD,2,-1.1109652694324401e-12,261.8483581542969,20,261.8483581542969,2018-04-28,31,0,R_A5,1687.1290283203125
3,1.0,STANDARD,3,-1.7272339157894945e-12,262.07373046875,20,262.07373046875,2018-04-28,31,0,R_A5,1689.5113525390625
4,1.0,STANDARD,4,-2.060863849365213e-12,262.2991027832031,20,262.2991027832031,2018-04-28,31,0,R_A5,1691.8936767578125
5,1.0,STANDARD,5,-2.044190988356731e-12,262.52447509765625,20,262.52447509765625,2018-04-28,31,0,R_A5,1694.2760009765625
6,1.0,STANDARD,6,-1.5957062060589777e-12,262.7498474121094,20,262.7498474121094,2018-04-28,31,0,R_A5,1696.658447265625
7,1.0,STANDARD,7,-1.2139208637861748e-13,263.2935485839844,20,263.2935485839844,2018-04-28,31,0,R_A5,1699.040771484375
8,1.0,STANDARD,11,-7.788795921160468e-14,270.5093688964844,20,270.5093688964844,2018-04-28,31,0,R_A5,1708.300048828125
9,1.0,STANDARD,12,-7.527249765333643e-14,270.74969482421875,20,270.74969482421875,2018-04-28,31,0,R_A5,1710.1422119140625
10,1.0,STANDARD,12,-1.930618073178389e-13,269.77410888671875,21,269.77410888671875,2018-04-28,31,0,R_A5,1704.1148681640625
11,1.0,STANDARD,13,-1.456667631568459e-14,270.0228271484375,21,270.0228271484375,2018-04-28,31,0,R_A5,1706.0535888671875
12,1.0,STANDARD,14,-2.4962926623256325e-14,270.20782470703125,21,270.20782470703125,2018-04-28,31,0,R_A5,1707.9921875
13,1.0,STANDARD,15,-4.3283442897001055e-15,270.4292907714844,21,270.4292907714844,2018-04-28,31,0,R_A5,1709.9307861328125
