CONJPOS,DEPTH,DRAWDOWN,CONKPOS,CONIDX,CONIPOS,CONBPRES,PRESSURE,SGAS,SWAT,WELLMODEL,WELL,DATE
41,1617.140625,0,9,10,29,279.78607177734375,279.78607177734375,0.0,0.7932724356651306,STANDARD,R_A3,2018-07-03
41,1619.19580078125,0,10,11,29,282.1151123046875,282.1151123046875,0.0,0.7921386361122131,STANDARD,R_A3,2018-07-03
41,1621.3380126953125,0,11,12,29,293.60919189453125,293.60919189453125,0.0,0.048627763986587524,STANDARD,R_A3,2018-07-03
41,1623.5672607421875,0,12,13,29,293.7584228515625,293.7584228515625,0.0,0.05302290990948677,STANDARD,R_A3,2018-07-03
41,1625.7965087890625,0,13,14,29,293.90826416015625,293.90826416015625,0.0,0.3694511353969574,STANDARD,R_A3,2018-07-03
41,1628.02587890625,0,14,15,29,294.0577392578125,294.0577392578125,0.0,0.23693935573101044,STANDARD,R_A3,2018-07-03
41,1630.255126953125,0,15,16,29,294.2212829589844,294.2212829589844,0.0,0.49857422709465027,STANDARD,R_A3,2018-07-03
41,1632.1634521484375,0,16,17,29,294.3603515625,294.3603515625,0.0,0.8061060905456543,STANDARD,R_A3,2018-07-03
41,1634.701416015625,0,26,18,29,285.2811279296875,285.2811279296875,0.0,0.2838285267353058,STANDARD,R_A3,2018-07-03
41,1638.1900634765625,0,27,19,29,285.49017333984375,285.49017333984375,0.0,0.043972793966531754,STANDARD,R_A3,2018-07-03
41,1641.6787109375,0,28,20,29,285.7232360839844,285.7232360839844,0.0,0.04922175034880638,STANDARD,R_A3,2018-07-03
41,1645.167236328125,0,29,21,29,285.9108581542969,285.9108581542969,0.0,0.6502183079719543,STANDARD,R_A3,2018-07-03
41,1648.6558837890625,0,30,22,29,286.0906066894531,286.0906066894531,0.0,0.060280658304691315,STANDARD,R_A3,2018-07-03
52,1632.71337890625,0,1,1,30,279.0489807128906,279.0489807128906,0.0,0.13428276777267456,STANDARD,R_A4,2018-09-12
52,1627.1810302734375,0,1,2,31,278.78173828125,278.78173828125,0.0,0.24860911071300507,STANDARD,R_A4,2018-09-12
52,1629.221923828125,0,2,3,31,278.91754150390625,278.91754150390625,0.0,0.22233614325523376,STANDARD,R_A4,2018-09-12
52,1631.2628173828125,0,3,4,31,279.0532531738281,279.0532531738281,0.0,0.08555616438388824,STANDARD,R_A4,2018-09-12
52,1633.3037109375,0,4,5,31,279.1891784667969,279.1891784667969,0.0,0.05535465106368065,STANDARD,R_A4,2018-09-12
52,1632.7740478515625,0,4,6,32,279.2124938964844,279.2124938964844,0.0,0.05539041757583618,STANDARD,R_A4,2018-09-12
51,1635.5050048828125,0,4,7,32,279.2535095214844,279.2535095214844,0.0,0.05515015497803688,STANDARD,R_A4,2018-09-12
51,1637.05126953125,0,4,8,33,279.4198303222656,279.4198303222656,0.0,0.05612985044717789,STANDARD,R_A4,2018-09-12
51,1635.1820068359375,0,3,9,33,279.29559326171875,279.29559326171875,0.0,0.23634739220142365,STANDARD,R_A4,2018-09-12
50,1641.6395263671875,0,4,10,33,279.66217041015625,279.66217041015625,0.0,0.0596909299492836,STANDARD,R_A4,2018-09-12
50,1639.767578125,0,4,11,34,279.58917236328125,279.58917236328125,0.0,0.060834065079689026,STANDARD,R_A4,2018-09-12
50,1640.708984375,0,4,12,35,279.6708679199219,279.6708679199219,0.0,0.062296487390995026,STANDARD,R_A4,2018-09-12
50,1638.9130859375,0,3,13,35,279.5510559082031,279.5510559082031,0.0,0.22323058545589447,STANDARD,R_A4,2018-09-12
49,1643.025146484375,0,3,14,35,279.75469970703125,279.75469970703125,0.0,0.23294270038604736,STANDARD,R_A4,2018-09-12
49,1641.2218017578125,0,2,15,35,279.6327819824219,279.6327819824219,0.0,0.22768402099609375,STANDARD,R_A4,2018-09-12
49,1643.9346923828125,0,29,16,36,276.4891357421875,276.4891357421875,0.0,0.05611349269747734,STANDARD,R_A4,2018-09-12
48,1644.3231201171875,0,29,17,36,276.1752624511719,276.1752624511719,0.0,0.0599580742418766,STANDARD,R_A4,2018-09-12
48,1649.57177734375,0,29,18,37,277.00384521484375,277.00384521484375,0.0,0.2259288728237152,STANDARD,R_A4,2018-09-12
48,1653.18212890625,0,29,19,38,277.6698913574219,277.6698913574219,0.0,0.329608678817749,STANDARD,R_A4,2018-09-12
47,1660.019287109375,0,29,20,38,277.8599853515625,277.8599853515625,0.0,0.7301275730133057,STANDARD,R_A4,2018-09-12
42,1694.296142578125,0,1,1,17,274.78277587890625,274.78277587890625,-3.879836122516744e-12,1.0,STANDARD,R_A6,2018-11-07
