PRESSURE,DATE,WELL,DEPTH,SGAS,CONIDX,WELLMODEL,CONJPOS,CONKPOS,CONBPRES,SWAT,DRAWDOWN,CONIPOS
276.99407958984375,2018-04-28,R_A5,1703.735107421875,-1.4373645502996357e-12,11,STANDARD,21,13,276.99407958984375,1.0,0,31
277.179931640625,2018-04-28,R_A5,1705.6856689453125,-1.982345060672075e-12,12,STANDARD,21,14,277.179931640625,1.0,0,31
278.3551025390625,2018-04-28,R_A5,1707.63623046875,-4.9790215353451295e-12,13,STANDARD,21,15,278.3551025390625,1.0,0,31
279.663330078125,2018-04-28,R_A5,1709.5867919921875,-6.25170314821899e-12,14,STANDARD,21,16,279.663330078125,1.0,0,31
279.8681945800781,2018-04-28,R_A5,1711.537353515625,-1.89615207216165e-12,15,STANDARD,21,17,279.8681945800781,1.0,0,31
280.0790710449219,2018-04-28,R_A5,1713.35400390625,-3.9307654353670785e-12,16,STANDARD,21,18,280.0790710449219,1.0,0,31
280.203125,2018-04-28,R_A5,1714.3951416015625,0.0,17,STANDARD,21,19,280.203125,1.0,0,31
280.1818542480469,2018-04-28,R_A5,1715.7628173828125,-1.275728925709957e-13,18,STANDARD,21,27,280.1818542480469,1.0,0,31
280.5024108886719,2018-04-28,R_A5,1718.098388671875,-1.499541864378312e-13,19,STANDARD,21,28,280.5024108886719,1.0,0,31
292.2989807128906,2018-04-28,R_A5,1720.43408203125,-1.1651187377642433e-18,20,STANDARD,21,29,292.2989807128906,1.0,0,31
294.54754638671875,2018-04-28,R_A5,1722.7696533203125,-1.648131624515342e-18,21,STANDARD,21,30,294.54754638671875,1.0,0,31
288.0254821777344,2018-04-28,R_A5,1725.105224609375,-5.435969057700218e-13,22,STANDARD,21,31,288.0254821777344,1.0,0,31
278.9548034667969,2018-07-03,R_A3,1609.243408203125,0.0,1,STANDARD,41,1,278.9548034667969,0.6497072577476501,0,28
279.0906066894531,2018-07-03,R_A3,1611.3077392578125,0.0,2,STANDARD,41,2,279.0906066894531,0.1975608468055725,0,28
279.2282409667969,2018-07-03,R_A3,1613.3720703125,0.0,3,STANDARD,41,3,279.2282409667969,0.15075579285621643,0,28
279.3741760253906,2018-07-03,R_A3,1615.4365234375,0.0,4,STANDARD,41,4,279.3741760253906,0.6778033375740051,0,28
281.3076477050781,2018-07-03,R_A3,1617.5008544921875,0.0,5,STANDARD,41,5,281.3076477050781,0.788157045841217,0,28
281.51739501953125,2018-07-03,R_A3,1619.565185546875,0.0,6,STANDARD,41,6,281.51739501953125,0.6492846608161926,0,28
280.7231140136719,2018-07-03,R_A3,1609.3663330078125,0.0,7,STANDARD,41,6,280.7231140136719,0.6492884755134583,0,29
280.8931884765625,2018-07-03,R_A3,1611.4163818359375,0.0,8,STANDARD,41,7,280.8931884765625,0.19830338656902313,0,29
281.0303955078125,2018-07-03,R_A3,1613.46630859375,0.0,9,STANDARD,41,8,281.0303955078125,0.2018805891275406,0,29
281.2596435546875,2018-07-03,R_A3,1615.516357421875,0.0,10,STANDARD,41,9,281.2596435546875,0.798517107963562,0,29
282.30224609375,2018-07-03,R_A3,1617.5662841796875,0.0,11,STANDARD,41,10,282.30224609375,0.8001466393470764,0,29
282.54327392578125,2018-07-03,R_A3,1619.750732421875,0.0,12,STANDARD,41,11,282.54327392578125,0.04915546625852585,0,29
282.6980895996094,2018-07-03,R_A3,1622.0697021484375,0.0,13,STANDARD,41,12,282.6980895996094,0.054459694772958755,0,29
282.8531494140625,2018-07-03,R_A3,1624.388671875,0.0,14,STANDARD,41,13,282.8531494140625,0.36849087476730347,0,29
283.3783874511719,2018-07-03,R_A3,1629.026611328125,0.0,15,STANDARD,41,15,283.3783874511719,0.5021960139274597,0,29
283.505615234375,2018-07-03,R_A3,1630.9468994140625,0.0,16,STANDARD,41,16,283.505615234375,0.7984871864318848,0,29
283.45465087890625,2018-07-03,R_A3,1633.5262451171875,0.0,17,STANDARD,41,27,283.45465087890625,0.6535477042198181,0,29
283.6904296875,2018-07-03,R_A3,1637.1630859375,0.0,18,STANDARD,41,28,283.6904296875,0.046796754002571106,0,29
283.93328857421875,2018-07-03,R_A3,1640.8001708984375,0.0,19,STANDARD,41,29,283.93328857421875,0.05212228000164032,0,29
284.1978454589844,2018-07-03,R_A3,1644.4371337890625,0.0,20,STANDARD,41,30,284.1978454589844,0.6736068725585938,0,29
284.4226989746094,2018-07-03,R_A3,1648.0740966796875,0.0,21,STANDARD,41,31,284.4226989746094,0.06576753407716751,0,29
275.0312194824219,2018-09-12,R_A4,1631.1873779296875,0.0,1,STANDARD,52,1,275.0312194824219,0.05172174051403999,0,30
274.96771240234375,2018-09-12,R_A4,1627.4293212890625,0.0,2,STANDARD,52,1,274.96771240234375,0.04941551759839058,0,31
275.1049499511719,2018-09-12,R_A4,1629.4896240234375,0.0,3,STANDARD,52,2,275.1049499511719,0.052278827875852585,0,31
275.2422180175781,2018-09-12,R_A4,1631.5498046875,0.0,4,STANDARD,52,3,275.2422180175781,0.05424875020980835,0,31
275.3794860839844,2018-09-12,R_A4,1633.610107421875,0.0,5,STANDARD,52,4,275.3794860839844,0.05588114634156227,0,31
275.4853515625,2018-09-12,R_A4,1632.3968505859375,0.0,6,STANDARD,52,4,275.4853515625,0.057711683213710785,0,32
275.6163635253906,2018-09-12,R_A4,1635.880615234375,0.0,7,STANDARD,51,4,275.6163635253906,0.05824117362499237,0,32
275.9226989746094,2018-09-12,R_A4,1637.321044921875,0.0,8,STANDARD,51,4,275.9226989746094,0.06081535294651985,0,33
275.7996520996094,2018-09-12,R_A4,1635.474609375,0.0,9,STANDARD,51,3,275.7996520996094,0.05833907797932625,0,33
276.2113037109375,2018-09-12,R_A4,1642.1485595703125,0.0,10,STANDARD,50,4,276.2113037109375,0.28008919954299927,0,33
276.3009948730469,2018-09-12,R_A4,1641.132080078125,0.0,11,STANDARD,50,4,276.3009948730469,0.6515503525733948,0,34
276.1719055175781,2018-09-12,R_A4,1639.20703125,0.0,12,STANDARD,50,3,276.1719055175781,0.09685272723436356,0,34
276.42779541015625,2018-09-12,R_A4,1640.9061279296875,0.0,13,STANDARD,50,3,276.42779541015625,0.16269254684448242,0,35
276.3035583496094,2018-09-12,R_A4,1639.0426025390625,0.0,14,STANDARD,50,2,276.3035583496094,0.18812346458435059,0,35
276.37939453125,2018-09-12,R_A4,1641.93212890625,0.0,15,STANDARD,49,2,276.37939453125,0.2392868846654892,0,35
277.4478454589844,2018-09-12,R_A4,1642.357421875,0.0,16,STANDARD,49,30,277.4478454589844,0.09724100679159164,0,36
