SGAS,DEPTH,PRESSURE,CONIDX,CONJPOS,WELL,SWAT,DATE,CONIPOS,WELLMODEL,DRAWDOWN,CONKPOS,CONBPRES
0.0,1629.03466796875,286.0538330078125,3,52,R_A4,0.04975268617272377,2018-09-12,31,STANDARD,0,2,286.0538330078125
0.0,1631.0966796875,286.1916198730469,4,52,R_A4,0.05175681784749031,2018-09-12,31,STANDARD,0,3,286.1916198730469
0.0,1633.1588134765625,286.3293762207031,5,52,R_A4,0.05331273376941681,2018-09-12,31,STANDARD,0,4,286.3293762207031
0.0,1633.8387451171875,286.3678283691406,6,52,R_A4,0.05558702349662781,2018-09-12,32,STANDARD,0,4,286.3678283691406
0.0,1634.9560546875,286.4490051269531,7,51,R_A4,0.05710794776678085,2018-09-12,32,STANDARD,0,4,286.4490051269531
0.0,1637.1793212890625,286.5904541015625,8,51,R_A4,0.05831477418541908,2018-09-12,33,STANDARD,0,4,286.5904541015625
0.0,1639.07470703125,286.7170715332031,9,51,R_A4,0.09940527379512787,2018-09-12,33,STANDARD,0,5,286.7170715332031
0.0,1641.704833984375,286.9006042480469,10,50,R_A4,0.05880656838417053,2018-09-12,33,STANDARD,0,5,286.9006042480469
0.0,1640.81689453125,286.8324890136719,11,50,R_A4,0.06038650497794151,2018-09-12,34,STANDARD,0,5,286.8324890136719
0.0,1638.8834228515625,286.703369140625,12,50,R_A4,0.11632262915372849,2018-09-12,34,STANDARD,0,4,286.703369140625
0.0,1642.93603515625,286.9535827636719,13,50,R_A4,0.1850534975528717,2018-09-12,35,STANDARD,0,4,286.9535827636719
0.0,1641.1131591796875,286.8322448730469,14,50,R_A4,0.23211093246936798,2018-09-12,35,STANDARD,0,3,286.8322448730469
0.0,1641.657470703125,286.8781433105469,15,49,R_A4,0.23381951451301575,2018-09-12,35,STANDARD,0,3,286.8781433105469
0.0,1639.837646484375,286.7566223144531,16,49,R_A4,0.22485892474651337,2018-09-12,35,STANDARD,0,2,286.7566223144531
0.0,1643.5369873046875,279.15606689453125,17,49,R_A4,0.05039079114794731,2018-09-12,36,STANDARD,0,29,279.15606689453125
0.0,1641.2666015625,278.41552734375,18,48,R_A4,0.10370088368654251,2018-09-12,36,STANDARD,0,29,278.41552734375
