CONKPOS,CONBPRES,CONIDX,SWAT,CONJPOS,WELL,SGAS,WELLMODEL,CONIPOS,DEPTH,DATE,DRAWDOWN,PRESSURE
30,296.0001220703125,20,0.8055052757263184,41,R_A3,0.0,STANDARD,29,1644.4371337890625,2018-07-03,0,296.0001220703125
31,287.4654541015625,21,0.14044488966464996,41,R_A3,0.0,STANDARD,29,1648.0740966796875,2018-07-03,0,287.4654541015625
1,279.9479064941406,1,0.051614608615636826,52,R_A4,0.0,STANDARD,30,1631.1873779296875,2018-09-12,0,279.9479064941406
1,279.71466064453125,2,0.04873219132423401,52,R_A4,0.0,STANDARD,31,1627.4293212890625,2018-09-12,0,279.71466064453125
2,279.8520812988281,3,0.05216986685991287,52,R_A4,0.0,STANDARD,31,1629.4896240234375,2018-09-12,0,279.8520812988281
3,279.989501953125,4,0.053338900208473206,52,R_A4,0.0,STANDARD,31,1631.5498046875,2018-09-12,0,279.989501953125
4,280.12689208984375,5,0.053050264716148376,52,R_A4,0.0,STANDARD,31,1633.610107421875,2018-09-12,0,280.12689208984375
4,280.079833984375,6,0.056389037519693375,52,R_A4,0.0,STANDARD,32,1632.3968505859375,2018-09-12,0,280.079833984375
4,280.2859802246094,7,0.05739109218120575,51,R_A4,0.0,STANDARD,32,1635.880615234375,2018-09-12,0,280.2859802246094
4,280.4230041503906,8,0.058699775487184525,51,R_A4,0.0,STANDARD,33,1637.321044921875,2018-09-12,0,280.4230041503906
3,280.2998046875,9,0.056685831397771835,51,R_A4,0.0,STANDARD,33,1635.474609375,2018-09-12,0,280.2998046875
4,280.685302734375,10,0.06337067484855652,50,R_A4,0.0,STANDARD,33,1642.1485595703125,2018-09-12,0,280.685302734375
4,280.6711730957031,11,0.06317615509033203,50,R_A4,0.0,STANDARD,34,1641.132080078125,2018-09-12,0,280.6711730957031
3,280.5428161621094,12,0.09856586158275604,50,R_A4,0.0,STANDARD,34,1639.20703125,2018-09-12,0,280.5428161621094
3,280.7118225097656,13,0.09566915780305862,50,R_A4,0.0,STANDARD,35,1640.9061279296875,2018-09-12,0,280.7118225097656
2,280.5875244140625,14,0.16092227399349213,50,R_A4,0.0,STANDARD,35,1639.0426025390625,2018-09-12,0,280.5875244140625
2,280.6955261230469,15,0.23754830658435822,49,R_A4,0.0,STANDARD,35,1641.93212890625,2018-09-12,0,280.6955261230469
30,279.1108703613281,16,0.2397589236497879,49,R_A4,0.0,STANDARD,36,1642.357421875,2018-09-12,0,279.1108703613281
30,278.8102722167969,17,0.2090447098016739,48,R_A4,0.0,STANDARD,36,1639.6068115234375,2018-09-12,0,278.8102722167969
30,279.4281921386719,18,0.3062290549278259,48,R_A4,0.0,STANDARD,37,1646.7513427734375,2018-09-12,0,279.4281921386719
30,280.13128662109375,19,0.7547736763954163,48,R_A4,0.0,STANDARD,38,1653.461669921875,2018-09-12,0,280.13128662109375
30,280.2356872558594,20,0.6920387148857117,47,R_A4,0.0,STANDARD,38,1657.8184814453125,2018-09-12,0,280.2356872558594
