SGAS,CONIPOS,CONKPOS,SWAT,PRESSURE,WELLMODEL,CONIDX,CONBPRES,CONJPOS,WELL,DATE,DEPTH,DRAWDOWN
-3.114530855441444e-09,31,5,0.9999999403953552,283.05706787109375,STANDARD,5,283.05706787109375,20,R_A5,2018-04-28,1692.421142578125,0
-2.928576270377903e-09,31,6,0.9999999403953552,283.2698059082031,STANDARD,6,283.2698059082031,20,R_A5,2018-04-28,1694.6680908203125,0
-9.060933427174067e-12,31,7,1.0,283.79730224609375,STANDARD,7,283.79730224609375,20,R_A5,2018-04-28,1696.9150390625,0
-1.4154885596973088e-10,31,11,1.0,282.0830993652344,STANDARD,8,282.0830993652344,21,R_A5,2018-04-28,1702.602783203125,0
-1.6807434610743854e-10,31,12,1.0,282.3111267089844,STANDARD,9,282.3111267089844,21,R_A5,2018-04-28,1704.619140625,0
-8.484786657991794e-12,31,13,1.0,282.51715087890625,STANDARD,10,282.51715087890625,21,R_A5,2018-04-28,1706.635498046875,0
-1.503915915412879e-11,31,14,1.0,282.71282958984375,STANDARD,11,282.71282958984375,21,R_A5,2018-04-28,1708.6519775390625,0
-3.3603892238276423e-12,31,15,1.0,282.9100646972656,STANDARD,12,282.9100646972656,21,R_A5,2018-04-28,1710.6683349609375,0
-9.156510185487354e-13,31,16,1.0,283.28759765625,STANDARD,13,283.28759765625,21,R_A5,2018-04-28,1712.684814453125,0
-2.2093991133148583e-12,31,17,1.0,283.5499572753906,STANDARD,14,283.5499572753906,21,R_A5,2018-04-28,1714.701171875,0
-1.7664831186356422e-12,31,18,1.0,283.72222900390625,STANDARD,15,283.72222900390625,21,R_A5,2018-04-28,1716.09228515625,0
0.0,31,19,1.0,283.78277587890625,STANDARD,16,283.78277587890625,21,R_A5,2018-04-28,1716.619384765625,0
-6.747671865703353e-11,31,27,1.0,288.3997497558594,STANDARD,17,288.3997497558594,21,R_A5,2018-04-28,1717.870849609375,0
-4.099762543341434e-11,31,28,1.0,288.91412353515625,STANDARD,18,288.91412353515625,21,R_A5,2018-04-28,1720.085205078125,0
-2.3146126541428193e-17,31,29,1.0,298.2247009277344,STANDARD,19,298.2247009277344,21,R_A5,2018-04-28,1722.299560546875,0
-1.647346423318876e-18,31,30,1.0,304.4515686035156,STANDARD,20,304.4515686035156,21,R_A5,2018-04-28,1724.513916015625,0
-1.6547552668080118e-20,31,31,1.0,307.077392578125,STANDARD,21,307.077392578125,21,R_A5,2018-04-28,1726.728271484375,0
0.0,28,1,0.6509503722190857,278.22308349609375,STANDARD,1,278.22308349609375,41,R_A3,2018-07-03,1610.65234375,0
0.0,28,2,0.1191195547580719,278.35687255859375,STANDARD,2,278.35687255859375,41,R_A3,2018-07-03,1612.7174072265625,0
0.0,29,2,0.13951155543327332,277.4502868652344,STANDARD,3,277.4502868652344,41,R_A3,2018-07-03,1599.830078125,0
0.0,29,3,0.12073222547769547,277.5950012207031,STANDARD,4,277.5950012207031,41,R_A3,2018-07-03,1602.00244140625,0
0.0,29,4,0.1714833527803421,277.73980712890625,STANDARD,5,277.73980712890625,41,R_A3,2018-07-03,1604.1749267578125,0
