CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,SGAS,DATE,CONJPOS,CONIDX
31,279.4017639160156,279.4017639160156,STANDARD,28,1718.098388671875,0,1.0,R_A5,-1.0418731849481944e-12,2018-04-28,21,19
31,291.33367919921875,291.33367919921875,STANDARD,29,1720.43408203125,0,1.0,R_A5,-4.923547996329826e-20,2018-04-28,21,20
31,293.464111328125,293.464111328125,STANDARD,30,1722.7696533203125,0,1.0,R_A5,-1.1885542379333367e-19,2018-04-28,21,21
31,285.2508239746094,285.2508239746094,STANDARD,31,1725.105224609375,0,1.0,R_A5,-1.7553947453339014e-19,2018-04-28,21,22
28,281.4068298339844,281.4068298339844,STANDARD,1,1609.243408203125,0,0.6493035554885864,R_A3,0.0,2018-07-03,41,1
28,281.5903015136719,281.5903015136719,STANDARD,2,1611.3077392578125,0,0.19377756118774414,R_A3,0.0,2018-07-03,41,2
28,281.72967529296875,281.72967529296875,STANDARD,3,1613.3720703125,0,0.19470711052417755,R_A3,0.0,2018-07-03,41,3
28,281.8714294433594,281.8714294433594,STANDARD,4,1615.4365234375,0,0.2502311170101166,R_A3,0.0,2018-07-03,41,4
28,282.01202392578125,282.01202392578125,STANDARD,5,1617.5008544921875,0,0.6492754817008972,R_A3,0.0,2018-07-03,41,5
28,282.1502380371094,282.1502380371094,STANDARD,6,1619.565185546875,0,0.15010711550712585,R_A3,0.0,2018-07-03,41,6
29,281.44940185546875,281.44940185546875,STANDARD,6,1609.3663330078125,0,0.27576568722724915,R_A3,0.0,2018-07-03,41,7
29,281.586181640625,281.586181640625,STANDARD,7,1611.4163818359375,0,0.19916021823883057,R_A3,0.0,2018-07-03,41,8
29,281.7229919433594,281.7229919433594,STANDARD,8,1613.46630859375,0,0.14632545411586761,R_A3,0.0,2018-07-03,41,9
29,281.8597717285156,281.8597717285156,STANDARD,9,1615.516357421875,0,0.6499016880989075,R_A3,0.0,2018-07-03,41,10
29,282.4242858886719,282.4242858886719,STANDARD,10,1617.5662841796875,0,0.8020015954971313,R_A3,0.0,2018-07-03,41,11
29,282.6148376464844,282.6148376464844,STANDARD,11,1619.750732421875,0,0.048411183059215546,R_A3,0.0,2018-07-03,41,12
29,282.7696838378906,282.7696838378906,STANDARD,12,1622.0697021484375,0,0.05399952456355095,R_A3,0.0,2018-07-03,41,13
29,282.9246826171875,282.9246826171875,STANDARD,13,1624.388671875,0,0.3732066750526428,R_A3,0.0,2018-07-03,41,14
29,283.1300354003906,283.1300354003906,STANDARD,14,1626.707763671875,0,0.34620362520217896,R_A3,0.0,2018-07-03,41,15
29,283.38873291015625,283.38873291015625,STANDARD,15,1629.026611328125,0,0.4947703778743744,R_A3,0.0,2018-07-03,41,16
29,283.5628356933594,283.5628356933594,STANDARD,16,1630.9468994140625,0,0.799745500087738,R_A3,0.0,2018-07-03,41,17
29,286.3461608886719,286.3461608886719,STANDARD,27,1633.5262451171875,0,0.6490297913551331,R_A3,0.0,2018-07-03,41,18
29,284.4500427246094,284.4500427246094,STANDARD,28,1637.1630859375,0,0.04590117186307907,R_A3,0.0,2018-07-03,41,19
29,284.69293212890625,284.69293212890625,STANDARD,29,1640.8001708984375,0,0.05236415937542915,R_A3,0.0,2018-07-03,41,20
29,284.9389953613281,284.9389953613281,STANDARD,30,1644.4371337890625,0,0.6491819024085999,R_A3,0.0,2018-07-03,41,21
29,285.1849060058594,285.1849060058594,STANDARD,31,1648.0740966796875,0,0.06137492135167122,R_A3,0.0,2018-07-03,41,22
30,276.25323486328125,276.25323486328125,STANDARD,1,1631.1873779296875,0,0.05190788209438324,R_A4,0.0,2018-09-12,52,1
31,276.2237243652344,276.2237243652344,STANDARD,1,1627.4293212890625,0,0.05080033466219902,R_A4,0.0,2018-09-12,52,2
31,276.36102294921875,276.36102294921875,STANDARD,2,1629.4896240234375,0,0.051720455288887024,R_A4,0.0,2018-09-12,52,3
31,276.49835205078125,276.49835205078125,STANDARD,3,1631.5498046875,0,0.0536729134619236,R_A4,0.0,2018-09-12,52,4
31,276.6331481933594,276.6331481933594,STANDARD,4,1633.610107421875,0,0.6514666676521301,R_A4,0.0,2018-09-12,52,5
32,276.69256591796875,276.69256591796875,STANDARD,4,1632.3968505859375,0,0.057270120829343796,R_A4,0.0,2018-09-12,52,6
32,276.8882141113281,276.8882141113281,STANDARD,4,1635.880615234375,0,0.6526908874511719,R_A4,0.0,2018-09-12,51,7
33,277.0625,277.0625,STANDARD,4,1637.321044921875,0,0.6516522765159607,R_A4,0.0,2018-09-12,51,8
