CONBPRES,DRAWDOWN,SWAT,CONIPOS,WELLMODEL,DATE,PRESSURE,CONKPOS,CONIDX,CONJPOS,SGAS,DEPTH,WELL
308.4715576171875,0,1.0,17,STANDARD,2018-01-01,308.4715576171875,28,23,42,0.0,1733.8541259765625,R_A6
298.9142761230469,0,0.05478336289525032,22,STANDARD,2018-03-01,298.9142761230469,1,1,30,0.0,1641.862548828125,R_A2
299.04132080078125,0,0.1420908272266388,22,STANDARD,2018-03-01,299.04132080078125,2,2,30,0.0,1643.7562255859375,R_A2
299.1683349609375,0,0.060787100344896317,22,STANDARD,2018-03-01,299.1683349609375,3,3,30,0.0,1645.6500244140625,R_A2
299.2953186035156,0,0.0669967457652092,22,STANDARD,2018-03-01,299.2953186035156,4,4,30,0.0,1647.543701171875,R_A2
299.4222717285156,0,0.11277890205383301,22,STANDARD,2018-03-01,299.4222717285156,5,5,30,0.0,1649.4373779296875,R_A2
299.552001953125,0,0.6783545017242432,22,STANDARD,2018-03-01,299.552001953125,6,6,30,0.0,1651.3310546875,R_A2
299.69366455078125,0,0.8862465620040894,22,STANDARD,2018-03-01,299.69366455078125,7,7,30,0.0,1653.224853515625,R_A2
299.8285827636719,0,0.8739509582519531,22,STANDARD,2018-03-01,299.8285827636719,8,8,30,0.0,1655.1185302734375,R_A2
300.1064147949219,0,0.9032053351402283,22,STANDARD,2018-03-01,300.1064147949219,9,9,30,0.0,1657.01220703125,R_A2
300.3692932128906,0,0.9137568473815918,22,STANDARD,2018-03-01,300.3692932128906,10,10,30,0.0,1658.906005859375,R_A2
299.37310791015625,0,0.07455999404191971,22,STANDARD,2018-03-01,299.37310791015625,11,11,30,0.0,1660.9217529296875,R_A2
299.4944152832031,0,0.0735614150762558,22,STANDARD,2018-03-01,299.4944152832031,12,12,30,0.0,1663.0595703125,R_A2
299.8335266113281,0,0.44322460889816284,22,STANDARD,2018-03-01,299.8335266113281,13,13,30,0.0,1665.197509765625,R_A2
300.22686767578125,0,0.506176769733429,22,STANDARD,2018-03-01,300.22686767578125,14,14,30,0.0,1667.3353271484375,R_A2
300.3726806640625,0,0.6573411226272583,22,STANDARD,2018-03-01,300.3726806640625,15,15,30,0.0,1669.47314453125,R_A2
300.51416015625,0,0.9716765880584717,22,STANDARD,2018-03-01,300.51416015625,16,16,30,0.0,1671.611083984375,R_A2
300.6571044921875,0,0.9377362728118896,22,STANDARD,2018-03-01,300.6571044921875,17,17,30,0.0,1673.7489013671875,R_A2
300.79559326171875,0,0.9748350381851196,22,STANDARD,2018-03-01,300.79559326171875,18,18,30,0.0,1675.8157958984375,R_A2
300.87451171875,0,0.9896009564399719,22,STANDARD,2018-03-01,300.87451171875,19,19,30,0.0,1676.99267578125,R_A2
300.8768615722656,0,0.7726666331291199,22,STANDARD,2018-03-01,300.8768615722656,24,20,30,0.0,1678.119140625,R_A2
302.7400817871094,0,1.0,22,STANDARD,2018-03-01,302.7400817871094,25,21,30,8.369643004916064e-14,1680.014404296875,R_A2
303.1543884277344,0,1.0,22,STANDARD,2018-03-01,303.1543884277344,25,22,29,4.309497833093477e-17,1677.71533203125,R_A2
303.2642822265625,0,1.0,22,STANDARD,2018-03-01,303.2642822265625,26,23,29,8.081311724415235e-17,1679.5435791015625,R_A2
303.70806884765625,0,1.0,22,STANDARD,2018-03-01,303.70806884765625,27,24,29,4.59581760092699e-16,1681.371826171875,R_A2
303.8787841796875,0,1.0,22,STANDARD,2018-03-01,303.8787841796875,28,25,29,1.1242670955884289e-16,1683.2000732421875,R_A2
284.2091369628906,0,1.0,31,STANDARD,2018-04-28,284.2091369628906,1,1,20,-4.561060903962577e-11,1684.96044921875,R_A5
284.419677734375,0,1.0,31,STANDARD,2018-04-28,284.419677734375,2,2,20,-1.4464486552956402e-10,1687.1815185546875,R_A5
284.6298828125,0,1.0,31,STANDARD,2018-04-28,284.6298828125,3,3,20,-1.575070768256026e-10,1689.4027099609375,R_A5
284.8398132324219,0,1.0,31,STANDARD,2018-04-28,284.8398132324219,4,4,20,-1.56704357823223e-10,1691.623779296875,R_A5
285.0495910644531,0,1.0,31,STANDARD,2018-04-28,285.0495910644531,5,5,20,-1.2065584642506622e-10,1693.8448486328125,R_A5
285.25946044921875,0,1.0,31,STANDARD,2018-04-28,285.25946044921875,6,6,20,-6.917192513222759e-11,1696.0660400390625,R_A5
285.68994140625,0,1.0,31,STANDARD,2018-04-28,285.68994140625,7,7,20,-5.762820234032906e-13,1698.287109375,R_A5
285.0328369140625,0,1.0,31,STANDARD,2018-04-28,285.0328369140625,8,8,20,-1.7847444984571414e-13,1700.50830078125,R_A5
286.53619384765625,0,1.0,31,STANDARD,2018-04-28,286.53619384765625,9,9,20,-1.1166037576981411e-13,1702.729248046875,R_A5
286.84307861328125,0,1.0,31,STANDARD,2018-04-28,286.84307861328125,10,10,20,-9.827301299114577e-12,1704.9503173828125,R_A5
284.1925048828125,0,1.0,31,STANDARD,2018-04-28,284.1925048828125,10,11,21,-1.2078810174287469e-09,1699.24658203125,R_A5
285.0912170410156,0,1.0,31,STANDARD,2018-04-28,285.0912170410156,11,12,21,-2.505243625397502e-12,1701.397216796875,R_A5
285.4600524902344,0,0.9999999403953552,31,STANDARD,2018-04-28,285.4600524902344,12,13,21,-2.4018058653041408e-09,1703.44970703125,R_A5
285.6664123535156,0,1.0,31,STANDARD,2018-04-28,285.6664123535156,13,14,21,-1.5066088654425158e-10,1705.502197265625,R_A5
285.8609924316406,0,1.0,31,STANDARD,2018-04-28,285.8609924316406,14,15,21,-1.0985416049047458e-10,1707.5548095703125,R_A5
286.05615234375,0,1.0,31,STANDARD,2018-04-28,286.05615234375,15,16,21,-3.909002982416254e-11,1709.6072998046875,R_A5
286.39788818359375,0,1.0,31,STANDARD,2018-04-28,286.39788818359375,16,17,21,-4.514289116130943e-12,1711.6597900390625,R_A5
286.58782958984375,0,1.0,31,STANDARD,2018-04-28,286.58782958984375,17,18,21,-4.498369125111035e-12,1713.6796875,R_A5
286.71624755859375,0,1.0,31,STANDARD,2018-04-28,286.71624755859375,18,19,21,-1.908150503923678e-12,1715.050048828125,R_A5
285.99163818359375,0,1.0,31,STANDARD,2018-04-28,285.99163818359375,24,20,21,-1.5323961544133624e-10,1716.596923828125,R_A5
286.2076110839844,0,1.0,31,STANDARD,2018-04-28,286.2076110839844,25,21,21,-1.4416350058166216e-10,1718.830078125,R_A5
292.77099609375,0,1.0,31,STANDARD,2018-04-28,292.77099609375,26,22,21,2.6706457481644233e-17,1721.0633544921875,R_A5
287.93359375,0,1.0,31,STANDARD,2018-04-28,287.93359375,27,23,21,-3.9082791365198377e-13,1723.2965087890625,R_A5
289.7412109375,0,1.0,31,STANDARD,2018-04-28,289.7412109375,28,24,21,-9.45838866213064e-14,1725.52978515625,R_A5
281.7389221191406,0,0.6492241621017456,28,STANDARD,2018-07-03,281.7389221191406,1,1,41,0.0,1609.4307861328125,R_A3
281.86383056640625,0,0.19713686406612396,28,STANDARD,2018-07-03,281.86383056640625,2,2,41,0.0,1611.3853759765625,R_A3
281.9940185546875,0,0.19564113020896912,28,STANDARD,2018-07-03,281.9940185546875,3,3,41,0.0,1613.3399658203125,R_A3
282.12371826171875,0,0.32017603516578674,28,STANDARD,2018-07-03,282.12371826171875,4,4,41,0.0,1615.2945556640625,R_A3
282.2529296875,0,0.6493327617645264,28,STANDARD,2018-07-03,282.2529296875,5,5,41,0.0,1617.249267578125,R_A3
281.685302734375,0,0.8196744918823242,29,STANDARD,2018-07-03,281.685302734375,5,6,41,0.0,1607.4388427734375,R_A3
281.74493408203125,0,0.6505236029624939,29,STANDARD,2018-07-03,281.74493408203125,6,7,41,0.0,1609.505126953125,R_A3
281.88720703125,0,0.169744074344635,29,STANDARD,2018-07-03,281.88720703125,7,8,41,0.0,1611.5714111328125,R_A3
282.0249938964844,0,0.10464169085025787,29,STANDARD,2018-07-03,282.0249938964844,8,9,41,0.0,1613.6376953125,R_A3
282.2401123046875,0,0.7965047955513,29,STANDARD,2018-07-03,282.2401123046875,9,10,41,0.0,1615.703857421875,R_A3
283.42083740234375,0,0.7925339341163635,29,STANDARD,2018-07-03,283.42083740234375,10,11,41,0.0,1617.770263671875,R_A3
281.1048889160156,0,0.04741595312952995,29,STANDARD,2018-07-03,281.1048889160156,11,12,41,0.0,1620.0052490234375,R_A3
281.2652587890625,0,0.05491750314831734,29,STANDARD,2018-07-03,281.2652587890625,12,13,41,0.0,1622.408935546875,R_A3
281.42584228515625,0,0.3744761049747467,29,STANDARD,2018-07-03,281.42584228515625,13,14,41,0.0,1624.8126220703125,R_A3
281.441162109375,0,0.35193830728530884,29,STANDARD,2018-07-03,281.441162109375,14,15,41,0.0,1627.21630859375,R_A3
281.1865234375,0,0.7848631143569946,29,STANDARD,2018-07-03,281.1865234375,15,16,41,0.0,1629.6199951171875,R_A3
281.14501953125,0,0.7838291525840759,29,STANDARD,2018-07-03,281.14501953125,16,17,41,0.0,1631.2686767578125,R_A3
