CONIDX,DATE,WELLMODEL,WELL,CONKPOS,DRAWDOWN,SWAT,SGAS,PRESSURE,CONIPOS,CONJPOS,DEPTH,CONBPRES
7,2018-07-03,STANDARD,R_A3,6,0,0.6497604846954346,0.0,274.0003967285156,29,41,1610.294921875,274.0003967285156
8,2018-07-03,STANDARD,R_A3,7,0,0.19576524198055267,0.0,274.1708068847656,29,41,1612.407470703125,274.1708068847656
9,2018-07-03,STANDARD,R_A3,8,0,0.24287262558937073,0.0,274.3119201660156,29,41,1614.5198974609375,274.3119201660156
10,2018-07-03,STANDARD,R_A3,9,0,0.7893956899642944,0.0,274.5732727050781,29,41,1616.63232421875,274.5732727050781
11,2018-07-03,STANDARD,R_A3,10,0,0.7870306372642517,0.0,277.3819580078125,29,41,1618.7447509765625,277.3819580078125
12,2018-07-03,STANDARD,R_A3,11,0,0.04771122336387634,0.0,295.8977355957031,29,41,1620.9453125,295.8977355957031
13,2018-07-03,STANDARD,R_A3,12,0,0.05355524271726608,0.0,296.051025390625,29,41,1623.234130859375,296.051025390625
14,2018-07-03,STANDARD,R_A3,13,0,0.3670133650302887,0.0,296.2046203613281,29,41,1625.52294921875,296.2046203613281
15,2018-07-03,STANDARD,R_A3,14,0,0.1921103149652481,0.0,296.4180908203125,29,41,1627.8116455078125,296.4180908203125
16,2018-07-03,STANDARD,R_A3,15,0,0.49780166149139404,0.0,296.7735900878906,29,41,1630.1004638671875,296.7735900878906
17,2018-07-03,STANDARD,R_A3,16,0,0.803241491317749,0.0,296.9068603515625,29,41,1632.037841796875,296.9068603515625
18,2018-07-03,STANDARD,R_A3,25,0,0.6487558484077454,0.0,290.8641052246094,29,41,1634.604248046875,290.8641052246094
19,2018-07-03,STANDARD,R_A3,26,0,0.04331814870238304,0.0,285.8012390136719,29,41,1638.151123046875,285.8012390136719
20,2018-07-03,STANDARD,R_A3,27,0,0.048881448805332184,0.0,286.0381774902344,29,41,1641.6981201171875,286.0381774902344
21,2018-07-03,STANDARD,R_A3,28,0,0.3236394226551056,0.0,286.2889099121094,29,41,1645.2451171875,286.2889099121094
22,2018-07-03,STANDARD,R_A3,29,0,0.05848810076713562,0.0,286.4994201660156,29,41,1648.7919921875,286.4994201660156
1,2018-09-12,STANDARD,R_A4,1,0,0.13274183869361877,0.0,280.4316711425781,30,52,1632.5504150390625,280.4316711425781
2,2018-09-12,STANDARD,R_A4,1,0,0.6494694948196411,0.0,280.1353759765625,31,52,1627.42578125,280.1353759765625
3,2018-09-12,STANDARD,R_A4,2,0,0.05003073811531067,0.0,280.2739562988281,31,52,1629.5035400390625,280.2739562988281
4,2018-09-12,STANDARD,R_A4,3,0,0.05111391842365265,0.0,280.4125671386719,31,52,1631.5811767578125,280.4125671386719
5,2018-09-12,STANDARD,R_A4,4,0,0.053783614188432693,0.0,280.5511779785156,31,52,1633.6588134765625,280.5511779785156
