PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
266.9858093261719,1.0,0,R_A5,6,1696.80419921875,6,2018-04-28,266.9858093261719,20,STANDARD,-1.8036366671025927e-12,31
267.5621337890625,1.0,0,R_A5,7,1699.095703125,7,2018-04-28,267.5621337890625,20,STANDARD,-2.0184250321478303e-13,31
273.6392517089844,1.0,0,R_A5,8,1699.6865234375,11,2018-04-28,273.6392517089844,21,STANDARD,-2.55842541596607e-10,31
273.7822570800781,1.0,0,R_A5,9,1701.71435546875,12,2018-04-28,273.7822570800781,21,STANDARD,-2.7009158798385613e-10,31
274.0298156738281,1.0,0,R_A5,10,1703.7421875,13,2018-04-28,274.0298156738281,21,STANDARD,-2.3476788221787892e-11,31
274.2229309082031,1.0,0,R_A5,11,1705.77001953125,14,2018-04-28,274.2229309082031,21,STANDARD,-3.8216482062258805e-11,31
274.4169921875,1.0,0,R_A5,12,1707.7978515625,15,2018-04-28,274.4169921875,21,STANDARD,-6.8414245622816505e-12,31
274.7623291015625,1.0,0,R_A5,13,1709.8258056640625,16,2018-04-28,274.7623291015625,21,STANDARD,-7.175920014451664e-12,31
275.016845703125,1.0,0,R_A5,14,1711.8536376953125,17,2018-04-28,275.016845703125,21,STANDARD,-9.870241559836734e-13,31
275.2373352050781,1.0,0,R_A5,15,1713.6995849609375,18,2018-04-28,275.2373352050781,21,STANDARD,-1.7752923697073042e-12,31
275.3403625488281,1.0,0,R_A5,16,1714.7750244140625,19,2018-04-28,275.3403625488281,21,STANDARD,0.0,31
280.4890441894531,1.0,0,R_A5,17,1716.2259521484375,27,2018-04-28,280.4890441894531,21,STANDARD,-2.68689272220346e-11,31
280.67205810546875,1.0,0,R_A5,18,1718.6409912109375,28,2018-04-28,280.67205810546875,21,STANDARD,-4.4205392818463807e-11,31
283.04815673828125,1.0,0,R_A5,19,1721.0560302734375,29,2018-04-28,283.04815673828125,21,STANDARD,-1.8121578727620796e-14,31
287.22259521484375,1.0,0,R_A5,20,1723.4710693359375,30,2018-04-28,287.22259521484375,21,STANDARD,7.456169335413309e-19,31
281.0652770996094,1.0,0,R_A5,21,1725.8861083984375,31,2018-04-28,281.0652770996094,21,STANDARD,-3.3822275289011627e-19,31
280.3616027832031,0.6493510007858276,0,R_A3,1,1607.6837158203125,1,2018-07-03,280.3616027832031,41,STANDARD,0.0,28
280.5010681152344,0.1518026739358902,0,R_A3,2,1609.7022705078125,2,2018-07-03,280.5010681152344,41,STANDARD,0.0,28
280.63580322265625,0.11981365829706192,0,R_A3,3,1611.720947265625,3,2018-07-03,280.63580322265625,41,STANDARD,0.0,28
280.7705078125,0.1399669051170349,0,R_A3,4,1613.7396240234375,4,2018-07-03,280.7705078125,41,STANDARD,0.0,28
280.9435119628906,0.6494280099868774,0,R_A3,5,1615.75830078125,5,2018-07-03,280.9435119628906,41,STANDARD,0.0,28
280.683837890625,0.8035248517990112,0,R_A3,6,1609.8944091796875,5,2018-07-03,280.683837890625,41,STANDARD,0.0,29
280.72125244140625,0.6493033170700073,0,R_A3,7,1611.765625,6,2018-07-03,280.72125244140625,41,STANDARD,0.0,29
