WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,20,3,281.80328369140625,0,3,-3.6358696609006813e-10,1689.5416259765625,R_A5,31,1.0,2018-04-28,281.80328369140625
STANDARD,20,4,281.9944763183594,0,4,-3.238480594802695e-10,1691.5657958984375,R_A5,31,1.0,2018-04-28,281.9944763183594
STANDARD,20,5,282.1853942871094,0,5,-1.731221277445627e-10,1693.5899658203125,R_A5,31,1.0,2018-04-28,282.1853942871094
STANDARD,20,6,282.3763732910156,0,6,-1.0402449734936425e-10,1695.6141357421875,R_A5,31,1.0,2018-04-28,282.3763732910156
STANDARD,20,7,282.85589599609375,0,7,-1.3112003887164048e-12,1697.63818359375,R_A5,31,1.0,2018-04-28,282.85589599609375
STANDARD,20,8,283.0527648925781,0,8,-7.873102668941312e-13,1699.662353515625,R_A5,31,1.0,2018-04-28,283.0527648925781
STANDARD,21,8,282.5089416503906,0,9,-2.983678304424586e-10,1693.781005859375,R_A5,31,1.0,2018-04-28,282.5089416503906
STANDARD,21,9,282.8279113769531,0,10,-8.52443116095003e-11,1696.130859375,R_A5,31,1.0,2018-04-28,282.8279113769531
STANDARD,21,10,284.20135498046875,0,11,-8.537788531715051e-12,1698.4808349609375,R_A5,31,1.0,2018-04-28,284.20135498046875
STANDARD,21,11,272.6894836425781,0,12,-3.3917105235481415e-12,1700.6756591796875,R_A5,31,1.0,2018-04-28,272.6894836425781
STANDARD,21,12,272.8204345703125,0,13,-3.160441743380038e-12,1702.7154541015625,R_A5,31,1.0,2018-04-28,272.8204345703125
STANDARD,21,13,273.0280456542969,0,14,-2.8368418183120914e-13,1704.7552490234375,R_A5,31,1.0,2018-04-28,273.0280456542969
STANDARD,21,14,273.23907470703125,0,15,-7.207478429187286e-13,1706.7950439453125,R_A5,31,1.0,2018-04-28,273.23907470703125
STANDARD,21,15,273.4479675292969,0,16,-1.0666837015451194e-13,1708.8348388671875,R_A5,31,1.0,2018-04-28,273.4479675292969
STANDARD,21,16,273.8056335449219,0,17,-9.764268014196987e-15,1710.8746337890625,R_A5,31,1.0,2018-04-28,273.8056335449219
STANDARD,21,17,274.0141906738281,0,18,-1.558422038335297e-14,1712.8834228515625,R_A5,31,1.0,2018-04-28,274.0141906738281
STANDARD,21,18,274.1370849609375,0,19,-2.915694406397593e-18,1714.1629638671875,R_A5,31,1.0,2018-04-28,274.1370849609375
STANDARD,21,19,274.1836242675781,0,20,0.0,1714.6497802734375,R_A5,31,1.0,2018-04-28,274.1836242675781
