CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
5,5,STANDARD,28,R_A3,0.8272706270217896,279.2268981933594,0.0,2018-07-03,41,1617.5008544921875,279.2268981933594,0
6,6,STANDARD,28,R_A3,0.6508208513259888,279.2846984863281,0.0,2018-07-03,41,1619.565185546875,279.2846984863281,0
7,6,STANDARD,29,R_A3,0.6509886384010315,278.584228515625,0.0,2018-07-03,41,1609.3663330078125,278.584228515625,0
8,7,STANDARD,29,R_A3,0.19962048530578613,278.7351989746094,0.0,2018-07-03,41,1611.4163818359375,278.7351989746094,0
9,8,STANDARD,29,R_A3,0.20231090486049652,278.8719482421875,0.0,2018-07-03,41,1613.46630859375,278.8719482421875,0
10,9,STANDARD,29,R_A3,0.8018037676811218,279.1211242675781,0.0,2018-07-03,41,1615.516357421875,279.1211242675781,0
11,10,STANDARD,29,R_A3,0.7985039949417114,282.8998107910156,0.0,2018-07-03,41,1617.5662841796875,282.8998107910156,0
12,11,STANDARD,29,R_A3,0.04776214435696602,283.7486877441406,0.0,2018-07-03,41,1619.750732421875,283.7486877441406,0
13,12,STANDARD,29,R_A3,0.0547616221010685,283.9035339355469,0.0,2018-07-03,41,1622.0697021484375,283.9035339355469,0
14,13,STANDARD,29,R_A3,0.3701145350933075,284.0588073730469,0.0,2018-07-03,41,1624.388671875,284.0588073730469,0
15,15,STANDARD,29,R_A3,0.4028482437133789,284.24346923828125,0.0,2018-07-03,41,1629.026611328125,284.24346923828125,0
16,16,STANDARD,29,R_A3,0.8047986030578613,284.3558044433594,0.0,2018-07-03,41,1630.9468994140625,284.3558044433594,0
17,27,STANDARD,29,R_A3,0.6541197299957275,284.2791442871094,0.0,2018-07-03,41,1633.5262451171875,284.2791442871094,0
18,28,STANDARD,29,R_A3,0.04673796147108078,284.503173828125,0.0,2018-07-03,41,1637.1630859375,284.503173828125,0
19,29,STANDARD,29,R_A3,0.05473708733916283,284.7460632324219,0.0,2018-07-03,41,1640.8001708984375,284.7460632324219,0
20,30,STANDARD,29,R_A3,1.0,287.9453430175781,1.1437853160260747e-13,2018-07-03,41,1644.4371337890625,287.9453430175781,0
21,31,STANDARD,29,R_A3,0.06266677379608154,285.23846435546875,0.0,2018-07-03,41,1648.0740966796875,285.23846435546875,0
1,1,STANDARD,30,R_A4,0.04981232061982155,276.2542419433594,0.0,2018-09-12,52,1631.1873779296875,276.2542419433594,0
2,1,STANDARD,31,R_A4,0.049881406128406525,276.12713623046875,0.0,2018-09-12,52,1627.4293212890625,276.12713623046875,0
