WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A3,284.0857849121094,28,1620.8424072265625,5,0.8304600119590759,2018-07-03,0,5,STANDARD,0.0,41,284.0857849121094
R_A3,284.18426513671875,28,1622.919677734375,6,0.6500881910324097,2018-07-03,0,6,STANDARD,0.0,41,284.18426513671875
R_A3,283.1155700683594,29,1606.9619140625,6,0.6491274237632751,2018-07-03,0,7,STANDARD,0.0,41,283.1155700683594
R_A3,283.225830078125,29,1609.1068115234375,7,0.19166646897792816,2018-07-03,0,8,STANDARD,0.0,41,283.225830078125
R_A3,283.36859130859375,29,1611.251708984375,8,0.19702492654323578,2018-07-03,0,9,STANDARD,0.0,41,283.36859130859375
R_A3,283.59320068359375,29,1613.3966064453125,9,0.7895463109016418,2018-07-03,0,10,STANDARD,0.0,41,283.59320068359375
R_A3,284.9433898925781,29,1615.54150390625,10,0.7890427708625793,2018-07-03,0,11,STANDARD,0.0,41,284.9433898925781
R_A3,284.9891357421875,29,1617.75146484375,11,0.04766422510147095,2018-07-03,0,12,STANDARD,0.0,41,284.9891357421875
R_A3,285.1410827636719,29,1620.0263671875,12,0.05187042057514191,2018-07-03,0,13,STANDARD,0.0,41,285.1410827636719
R_A3,285.2934875488281,29,1622.3013916015625,13,0.3652886748313904,2018-07-03,0,14,STANDARD,0.0,41,285.2934875488281
R_A3,285.6426696777344,29,1624.5762939453125,14,0.37457484006881714,2018-07-03,0,15,STANDARD,0.0,41,285.6426696777344
R_A3,285.82672119140625,29,1626.8511962890625,15,0.6038727164268494,2018-07-03,0,16,STANDARD,0.0,41,285.82672119140625
R_A3,286.02301025390625,29,1628.8782958984375,16,0.793622612953186,2018-07-03,0,17,STANDARD,0.0,41,286.02301025390625
R_A3,284.5188903808594,29,1631.928955078125,25,0.3788277506828308,2018-07-03,0,18,STANDARD,0.0,41,284.5188903808594
