CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
41,0.36801716685295105,2018-07-03,13,STANDARD,0.0,29,0,14,290.3722839355469,290.3722839355469,R_A3,1624.4781494140625
41,0.0429048016667366,2018-07-03,14,STANDARD,0.0,29,0,15,290.58636474609375,290.58636474609375,R_A3,1626.849365234375
41,0.6558858752250671,2018-07-03,15,STANDARD,0.0,29,0,16,292.0785217285156,292.0785217285156,R_A3,1629.2205810546875
41,0.8000980019569397,2018-07-03,16,STANDARD,0.0,29,0,17,292.2289733886719,292.2289733886719,R_A3,1631.0247802734375
41,0.2984175384044647,2018-07-03,25,STANDARD,0.0,29,0,18,286.6235046386719,286.6235046386719,R_A3,1633.4703369140625
41,0.04735269024968147,2018-07-03,26,STANDARD,0.0,29,0,19,286.72821044921875,286.72821044921875,R_A3,1637.12451171875
41,0.050805822014808655,2018-07-03,27,STANDARD,0.0,29,0,20,286.97235107421875,286.97235107421875,R_A3,1640.7786865234375
41,0.6497326493263245,2018-07-03,28,STANDARD,0.0,29,0,21,287.19781494140625,287.19781494140625,R_A3,1644.432861328125
41,0.060644567012786865,2018-07-03,29,STANDARD,0.0,29,0,22,287.3650817871094,287.3650817871094,R_A3,1648.0870361328125
52,0.0494835264980793,2018-09-12,1,STANDARD,0.0,30,0,1,280.26214599609375,280.26214599609375,R_A4,1629.9554443359375
52,0.0499572791159153,2018-09-12,1,STANDARD,0.0,31,0,2,280.09918212890625,280.09918212890625,R_A4,1626.0133056640625
52,0.04879814386367798,2018-09-12,2,STANDARD,0.0,31,0,3,280.23748779296875,280.23748779296875,R_A4,1628.086181640625
52,0.05053642764687538,2018-09-12,3,STANDARD,0.0,31,0,4,280.3758239746094,280.3758239746094,R_A4,1630.1590576171875
52,0.052763931453228,2018-09-12,4,STANDARD,0.0,31,0,5,280.5141296386719,280.5141296386719,R_A4,1632.23193359375
52,0.056721754372119904,2018-09-12,5,STANDARD,0.0,31,0,6,280.6524353027344,280.6524353027344,R_A4,1634.3048095703125
52,0.05512024462223053,2018-09-12,5,STANDARD,0.0,32,0,7,280.62567138671875,280.62567138671875,R_A4,1632.431884765625
51,0.058741215616464615,2018-09-12,5,STANDARD,0.0,32,0,8,280.7677307128906,280.7677307128906,R_A4,1636.1822509765625
51,0.05806181952357292,2018-09-12,5,STANDARD,0.0,33,0,9,280.92193603515625,280.92193603515625,R_A4,1636.5596923828125
50,0.06056063994765282,2018-09-12,5,STANDARD,0.0,33,0,10,281.1960144042969,281.1960144042969,R_A4,1642.000244140625
50,0.06090114265680313,2018-09-12,5,STANDARD,0.0,34,0,11,281.2317810058594,281.2317810058594,R_A4,1640.4581298828125
50,0.1327124983072281,2018-09-12,4,STANDARD,0.0,34,0,12,281.1065979003906,281.1065979003906,R_A4,1638.5809326171875
50,0.1416061967611313,2018-09-12,4,STANDARD,0.0,35,0,13,281.3215026855469,281.3215026855469,R_A4,1639.9937744140625
50,0.19472655653953552,2018-09-12,3,STANDARD,0.0,35,0,14,281.20062255859375,281.20062255859375,R_A4,1638.1790771484375
49,0.23016926646232605,2018-09-12,3,STANDARD,0.0,35,0,15,281.38531494140625,281.38531494140625,R_A4,1641.9444580078125
49,0.2089749127626419,2018-09-12,28,STANDARD,0.0,36,0,16,280.86407470703125,280.86407470703125,R_A4,1642.861083984375
48,0.17515410482883453,2018-09-12,28,STANDARD,0.0,36,0,17,280.33306884765625,280.33306884765625,R_A4,1643.9658203125
