CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
22,R_A2,1639.462158203125,1,1,0,299.3013610839844,2018-03-01,STANDARD,299.3013610839844,30,0.0,0.0724160447716713
22,R_A2,1641.3885498046875,2,2,0,299.43048095703125,2018-03-01,STANDARD,299.43048095703125,30,0.0,0.05774381011724472
22,R_A2,1643.31494140625,3,3,0,299.5596008300781,2018-03-01,STANDARD,299.5596008300781,30,0.0,0.05997876450419426
22,R_A2,1645.2413330078125,4,4,0,299.6887512207031,2018-03-01,STANDARD,299.6887512207031,30,0.0,0.06650390475988388
22,R_A2,1647.1678466796875,5,5,0,299.8179016113281,2018-03-01,STANDARD,299.8179016113281,30,0.0,0.07046055048704147
22,R_A2,1649.09423828125,6,6,0,299.9433898925781,2018-03-01,STANDARD,299.9433898925781,30,0.0,0.6484671831130981
22,R_A2,1651.020751953125,7,7,0,300.0802307128906,2018-03-01,STANDARD,300.0802307128906,30,0.0,0.9059769511222839
22,R_A2,1652.9471435546875,8,8,0,300.2128601074219,2018-03-01,STANDARD,300.2128601074219,30,0.0,0.8823457360267639
22,R_A2,1654.87353515625,9,9,0,300.4217224121094,2018-03-01,STANDARD,300.4217224121094,30,0.0,0.9101728796958923
22,R_A2,1656.7999267578125,10,10,0,300.5674133300781,2018-03-01,STANDARD,300.5674133300781,30,0.0,0.916695237159729
22,R_A2,1658.7890625,11,11,0,300.3356628417969,2018-03-01,STANDARD,300.3356628417969,30,0.0,0.07891495525836945
22,R_A2,1660.841064453125,12,12,0,300.7616882324219,2018-03-01,STANDARD,300.7616882324219,30,0.0,0.0897817611694336
22,R_A2,1662.89306640625,13,13,0,300.817138671875,2018-03-01,STANDARD,300.817138671875,30,0.0,0.4700165390968323
22,R_A2,1664.9449462890625,14,14,0,300.9549865722656,2018-03-01,STANDARD,300.9549865722656,30,0.0,0.519345223903656
22,R_A2,1666.9969482421875,15,15,0,301.09246826171875,2018-03-01,STANDARD,301.09246826171875,30,0.0,0.7209345102310181
22,R_A2,1669.0489501953125,16,16,0,301.2292785644531,2018-03-01,STANDARD,301.2292785644531,30,0.0,0.9708396196365356
22,R_A2,1671.100830078125,17,17,0,301.36688232421875,2018-03-01,STANDARD,301.36688232421875,30,0.0,0.9632712006568909
22,R_A2,1673.147705078125,18,18,0,301.5044860839844,2018-03-01,STANDARD,301.5044860839844,30,0.0,0.9774831533432007
22,R_A2,1674.814208984375,19,19,0,301.6168518066406,2018-03-01,STANDARD,301.6168518066406,30,-5.995914320600093e-10,1.0
22,R_A2,1676.3868408203125,20,24,0,301.8203125,2018-03-01,STANDARD,301.8203125,30,-3.1687164003812995e-10,1.0
22,R_A2,1674.0692138671875,21,24,0,301.64208984375,2018-03-01,STANDARD,301.64208984375,29,0.0,0.4768684506416321
22,R_A2,1675.9542236328125,22,25,0,302.32830810546875,2018-03-01,STANDARD,302.32830810546875,29,-1.2155161859678243e-12,1.0
22,R_A2,1677.839111328125,23,26,0,302.1982727050781,2018-03-01,STANDARD,302.1982727050781,29,-4.746976466421526e-13,1.0
22,R_A2,1679.7239990234375,24,27,0,302.512939453125,2018-03-01,STANDARD,302.512939453125,29,0.0,0.9999961853027344
22,R_A2,1681.6090087890625,25,28,0,302.580078125,2018-03-01,STANDARD,302.580078125,29,-3.4452842054971677e-12,1.0
31,R_A5,1685.603271484375,1,1,0,267.2379455566406,2018-04-28,STANDARD,267.2379455566406,20,7.130120587339048e-19,1.0
31,R_A5,1687.9449462890625,2,2,0,267.45953369140625,2018-04-28,STANDARD,267.45953369140625,20,7.129178893910445e-20,1.0
31,R_A5,1690.2867431640625,3,3,0,267.68121337890625,2018-04-28,STANDARD,267.68121337890625,20,7.883609747071258e-19,1.0
31,R_A5,1692.6285400390625,4,4,0,267.9028625488281,2018-04-28,STANDARD,267.9028625488281,20,6.075849428330892e-19,1.0
31,R_A5,1694.97021484375,5,5,0,268.12451171875,2018-04-28,STANDARD,268.12451171875,20,7.756333534169255e-19,1.0
31,R_A5,1697.3118896484375,6,6,0,268.34613037109375,2018-04-28,STANDARD,268.34613037109375,20,6.581066531059905e-19,1.0
31,R_A5,1699.653564453125,7,7,0,268.8914489746094,2018-04-28,STANDARD,268.8914489746094,20,1.4950806188225515e-19,1.0
31,R_A5,1701.995361328125,8,8,0,269.75921630859375,2018-04-28,STANDARD,269.75921630859375,20,8.595122902836428e-18,1.0
31,R_A5,1708.7584228515625,9,11,0,267.84503173828125,2018-04-28,STANDARD,267.84503173828125,20,6.054858190003226e-17,1.0
31,R_A5,1710.575927734375,10,12,0,267.9805908203125,2018-04-28,STANDARD,267.9805908203125,20,4.0059781348236793e-17,1.0
31,R_A5,1703.1884765625,11,12,0,266.24725341796875,2018-04-28,STANDARD,266.24725341796875,21,3.9854035721859744e-16,1.0
31,R_A5,1705.0740966796875,12,13,0,266.4388122558594,2018-04-28,STANDARD,266.4388122558594,21,1.5515800635294014e-17,1.0
31,R_A5,1706.9595947265625,13,14,0,266.61871337890625,2018-04-28,STANDARD,266.61871337890625,21,3.4605418563511133e-17,1.0
