SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
-1.153425011751752e-11,273.83880615234375,R_A5,273.83880615234375,31,1707.63623046875,21,0,2018-04-28,STANDARD,15,1.0,13
-1.325047016553782e-11,274.4304504394531,R_A5,274.4304504394531,31,1709.5867919921875,21,0,2018-04-28,STANDARD,16,1.0,14
-1.5591034322956498e-12,274.6282653808594,R_A5,274.6282653808594,31,1711.537353515625,21,0,2018-04-28,STANDARD,17,1.0,15
-2.424172191109464e-12,274.8146667480469,R_A5,274.8146667480469,31,1713.35400390625,21,0,2018-04-28,STANDARD,18,1.0,16
0.0,274.91912841796875,R_A5,274.91912841796875,31,1714.3951416015625,21,0,2018-04-28,STANDARD,19,1.0,17
-4.3514063879923626e-12,274.89593505859375,R_A5,274.89593505859375,31,1715.7628173828125,21,0,2018-04-28,STANDARD,27,1.0,18
-5.5100711320033025e-12,275.10198974609375,R_A5,275.10198974609375,31,1718.098388671875,21,0,2018-04-28,STANDARD,28,1.0,19
-3.2462431721005077e-19,291.064453125,R_A5,291.064453125,31,1720.43408203125,21,0,2018-04-28,STANDARD,29,1.0,20
-3.312547191192888e-20,302.39300537109375,R_A5,302.39300537109375,31,1722.7696533203125,21,0,2018-04-28,STANDARD,30,1.0,21
-8.1615584595134435e-22,306.42364501953125,R_A5,306.42364501953125,31,1725.105224609375,21,0,2018-04-28,STANDARD,31,1.0,22
0.0,280.74432373046875,R_A3,280.74432373046875,28,1609.243408203125,41,0,2018-07-03,STANDARD,1,0.3085547387599945,1
0.0,280.8824157714844,R_A3,280.8824157714844,28,1611.3077392578125,41,0,2018-07-03,STANDARD,2,0.20040380954742432,2
0.0,281.0202941894531,R_A3,281.0202941894531,28,1613.3720703125,41,0,2018-07-03,STANDARD,3,0.20092947781085968,3
0.0,281.1787109375,R_A3,281.1787109375,28,1615.4365234375,41,0,2018-07-03,STANDARD,4,0.3741818368434906,4
0.0,281.5334777832031,R_A3,281.5334777832031,28,1617.5008544921875,41,0,2018-07-03,STANDARD,5,0.8185682892799377,5
0.0,281.67352294921875,R_A3,281.67352294921875,28,1619.565185546875,41,0,2018-07-03,STANDARD,6,0.26690927147865295,6
0.0,281.0218811035156,R_A3,281.0218811035156,29,1609.3663330078125,41,0,2018-07-03,STANDARD,6,0.6492968201637268,7
0.0,281.1568603515625,R_A3,281.1568603515625,29,1611.4163818359375,41,0,2018-07-03,STANDARD,7,0.19481468200683594,8
0.0,281.2935791015625,R_A3,281.2935791015625,29,1613.46630859375,41,0,2018-07-03,STANDARD,8,0.19899295270442963,9
0.0,281.5496826171875,R_A3,281.5496826171875,29,1615.516357421875,41,0,2018-07-03,STANDARD,9,0.796893298625946,10
0.0,285.9075012207031,R_A3,285.9075012207031,29,1617.5662841796875,41,0,2018-07-03,STANDARD,10,0.8001880049705505,11
0.0,286.93157958984375,R_A3,286.93157958984375,29,1619.750732421875,41,0,2018-07-03,STANDARD,11,0.04970845207571983,12
0.0,287.0865783691406,R_A3,287.0865783691406,29,1622.0697021484375,41,0,2018-07-03,STANDARD,12,0.05373787879943848,13
0.0,287.2421569824219,R_A3,287.2421569824219,29,1624.388671875,41,0,2018-07-03,STANDARD,13,0.3771298825740814,14
0.0,288.49908447265625,R_A3,288.49908447265625,29,1629.026611328125,41,0,2018-07-03,STANDARD,15,0.5017141699790955,15
0.0,288.640625,R_A3,288.640625,29,1630.9468994140625,41,0,2018-07-03,STANDARD,16,0.81456458568573,16
0.0,287.2710876464844,R_A3,287.2710876464844,29,1633.5262451171875,41,0,2018-07-03,STANDARD,27,0.7530101537704468,17
0.0,287.4214782714844,R_A3,287.4214782714844,29,1637.1630859375,41,0,2018-07-03,STANDARD,28,0.04640485346317291,18
0.0,287.66461181640625,R_A3,287.66461181640625,29,1640.8001708984375,41,0,2018-07-03,STANDARD,29,0.05246726796030998,19
0.0,296.193359375,R_A3,296.193359375,29,1644.4371337890625,41,0,2018-07-03,STANDARD,30,0.8055165410041809,20
0.0,288.1109619140625,R_A3,288.1109619140625,29,1648.0740966796875,41,0,2018-07-03,STANDARD,31,0.14041495323181152,21
0.0,280.5198669433594,R_A4,280.5198669433594,30,1631.1873779296875,52,0,2018-09-12,STANDARD,1,0.051612015813589096,1
0.0,280.2864990234375,R_A4,280.2864990234375,31,1627.4293212890625,52,0,2018-09-12,STANDARD,1,0.048729512840509415,2
0.0,280.4239196777344,R_A4,280.4239196777344,31,1629.4896240234375,52,0,2018-09-12,STANDARD,2,0.05216721072793007,3
0.0,280.5613708496094,R_A4,280.5613708496094,31,1631.5498046875,52,0,2018-09-12,STANDARD,3,0.053336095064878464,4
0.0,280.69879150390625,R_A4,280.69879150390625,31,1633.610107421875,52,0,2018-09-12,STANDARD,4,0.05304713174700737,5
0.0,280.65167236328125,R_A4,280.65167236328125,32,1632.3968505859375,52,0,2018-09-12,STANDARD,4,0.056386206299066544,6
0.0,280.8577575683594,R_A4,280.8577575683594,32,1635.880615234375,51,0,2018-09-12,STANDARD,4,0.05738910287618637,7
0.0,280.9949645996094,R_A4,280.9949645996094,33,1637.321044921875,51,0,2018-09-12,STANDARD,4,0.05869428068399429,8
0.0,280.8717346191406,R_A4,280.8717346191406,33,1635.474609375,51,0,2018-09-12,STANDARD,3,0.05668117105960846,9
0.0,281.2568664550781,R_A4,281.2568664550781,33,1642.1485595703125,50,0,2018-09-12,STANDARD,4,0.06334874033927917,10
0.0,281.2437438964844,R_A4,281.2437438964844,34,1641.132080078125,50,0,2018-09-12,STANDARD,4,0.06315631419420242,11
0.0,281.1153869628906,R_A4,281.1153869628906,34,1639.20703125,50,0,2018-09-12,STANDARD,3,0.09855686873197556,12
0.0,281.2862854003906,R_A4,281.2862854003906,35,1640.9061279296875,50,0,2018-09-12,STANDARD,3,0.09566330164670944,13
0.0,281.1619873046875,R_A4,281.1619873046875,35,1639.0426025390625,50,0,2018-09-12,STANDARD,2,0.1609135866165161,14
