CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
29,0,1674.8734130859375,0.0,0.9674778580665588,R_A2,2018-03-01,19,22,302.46502685546875,302.46502685546875,STANDARD,18
29,0,1676.643310546875,-2.0897210639485866e-18,1.0,R_A2,2018-03-01,20,22,303.0625305175781,303.0625305175781,STANDARD,27
29,0,1678.3785400390625,-1.5769446160953932e-19,1.0,R_A2,2018-03-01,21,22,303.13348388671875,303.13348388671875,STANDARD,28
29,0,1680.11376953125,-3.8530966287781586e-17,1.0,R_A2,2018-03-01,22,22,303.4039306640625,303.4039306640625,STANDARD,29
29,0,1681.848876953125,-2.3547514239603655e-14,1.0,R_A2,2018-03-01,23,22,303.1814880371094,303.1814880371094,STANDARD,30
29,0,1683.5841064453125,-8.373286064511376e-09,0.9999999403953552,R_A2,2018-03-01,24,22,303.1589050292969,303.1589050292969,STANDARD,31
20,0,1684.117431640625,-2.9101619389033245e-14,1.0,R_A5,2018-04-28,1,31,267.19439697265625,267.19439697265625,STANDARD,1
20,0,1686.35107421875,-2.4342054014017765e-16,1.0,R_A5,2018-04-28,2,31,267.40570068359375,267.40570068359375,STANDARD,2
20,0,1688.584716796875,-1.0654101299106822e-12,1.0,R_A5,2018-04-28,3,31,267.6170959472656,267.6170959472656,STANDARD,3
20,0,1690.818359375,-1.3666713160470634e-12,1.0,R_A5,2018-04-28,4,31,267.8284912109375,267.8284912109375,STANDARD,4
20,0,1693.052001953125,-1.3497129846065659e-12,1.0,R_A5,2018-04-28,5,31,268.0398864746094,268.0398864746094,STANDARD,5
20,0,1695.2857666015625,-1.017045714139797e-12,1.0,R_A5,2018-04-28,6,31,268.2512512207031,268.2512512207031,STANDARD,6
20,0,1697.5194091796875,-4.092919782933656e-14,1.0,R_A5,2018-04-28,7,31,268.81146240234375,268.81146240234375,STANDARD,7
21,0,1699.241455078125,-2.2745025060979564e-14,1.0,R_A5,2018-04-28,8,31,271.4495849609375,271.4495849609375,STANDARD,10
21,0,1701.4384765625,-2.4262657855045333e-11,1.0,R_A5,2018-04-28,9,31,265.562255859375,265.562255859375,STANDARD,11
21,0,1703.3726806640625,-8.454388231160515e-12,1.0,R_A5,2018-04-28,10,31,265.80126953125,265.80126953125,STANDARD,12
21,0,1705.306884765625,-7.815858203696902e-12,1.0,R_A5,2018-04-28,11,31,266.0044250488281,266.0044250488281,STANDARD,13
21,0,1707.2410888671875,-1.1090262388990801e-11,1.0,R_A5,2018-04-28,12,31,266.19635009765625,266.19635009765625,STANDARD,14
21,0,1709.17529296875,-2.1368762662121732e-11,1.0,R_A5,2018-04-28,13,31,266.4124755859375,266.4124755859375,STANDARD,15
21,0,1711.1094970703125,-1.9972506287713188e-11,1.0,R_A5,2018-04-28,14,31,266.7999267578125,266.7999267578125,STANDARD,16
21,0,1713.0435791015625,-4.951544382847395e-12,1.0,R_A5,2018-04-28,15,31,267.0174255371094,267.0174255371094,STANDARD,17
21,0,1714.8154296875,-7.422230365039528e-12,1.0,R_A5,2018-04-28,16,31,267.2060241699219,267.2060241699219,STANDARD,18
21,0,1715.893310546875,-1.99451568085464e-23,1.0,R_A5,2018-04-28,17,31,267.3108215332031,267.3108215332031,STANDARD,19
21,0,1717.3006591796875,-3.285000396702209e-11,1.0,R_A5,2018-04-28,18,31,273.8351745605469,273.8351745605469,STANDARD,27
21,0,1719.56884765625,-4.51355133823661e-11,1.0,R_A5,2018-04-28,19,31,274.0586242675781,274.0586242675781,STANDARD,28
21,0,1721.837158203125,-4.972612134230287e-17,1.0,R_A5,2018-04-28,20,31,285.25799560546875,285.25799560546875,STANDARD,29
21,0,1724.1053466796875,-2.6775627613544184e-13,1.0,R_A5,2018-04-28,21,31,296.36712646484375,296.36712646484375,STANDARD,30
21,0,1726.37353515625,-1.1564283330846997e-14,1.0,R_A5,2018-04-28,22,31,279.7412414550781,279.7412414550781,STANDARD,31
