DATE,SWAT,WELLMODEL,CONKPOS,CONJPOS,SGAS,DEPTH,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,CONIPOS,WELL
2018-04-28,1.0,STANDARD,19,21,-1.2483807390606394e-13,1715.938232421875,17,286.9242248535156,0,286.9242248535156,31,R_A5
2018-04-28,1.0,STANDARD,26,21,4.7588450541313776e-11,1717.2816162109375,18,287.9217529296875,0,287.9217529296875,31,R_A5
2018-04-28,1.0,STANDARD,27,21,7.665225398856279e-11,1719.62109375,19,288.17059326171875,0,288.17059326171875,31,R_A5
2018-04-28,1.0,STANDARD,28,21,4.6005862314180135e-11,1721.960693359375,20,288.69647216796875,0,288.69647216796875,31,R_A5
2018-04-28,1.0,STANDARD,29,21,5.991833247724892e-16,1724.30029296875,21,297.20245361328125,0,297.20245361328125,31,R_A5
2018-04-28,1.0,STANDARD,30,21,1.5106163631960044e-18,1726.6397705078125,22,304.6540832519531,0,304.6540832519531,31,R_A5
2018-07-03,0.649730920791626,STANDARD,1,41,0.0,1610.6644287109375,1,273.9027404785156,0,273.9027404785156,28,R_A3
2018-07-03,0.14695028960704803,STANDARD,2,41,0.0,1612.690673828125,2,274.0392150878906,0,274.0392150878906,28,R_A3
2018-07-03,0.10547461360692978,STANDARD,3,41,0.0,1614.7169189453125,3,274.1742248535156,0,274.1742248535156,28,R_A3
2018-07-03,0.18626144528388977,STANDARD,3,41,0.0,1601.1185302734375,4,273.21734619140625,0,273.21734619140625,29,R_A3
2018-07-03,0.3676210045814514,STANDARD,4,41,0.0,1603.3834228515625,5,273.4872131347656,0,273.4872131347656,29,R_A3
2018-07-03,0.766577959060669,STANDARD,5,41,0.0,1605.6484375,6,275.44586181640625,0,275.44586181640625,29,R_A3
2018-07-03,0.6538287401199341,STANDARD,6,41,0.0,1607.913330078125,7,275.80755615234375,0,275.80755615234375,29,R_A3
2018-07-03,0.19502225518226624,STANDARD,7,41,0.0,1610.1783447265625,8,276.10345458984375,0,276.10345458984375,29,R_A3
2018-07-03,0.19578252732753754,STANDARD,8,41,0.0,1612.443359375,9,276.2576599121094,0,276.2576599121094,29,R_A3
