SGAS,SWAT,DATE,CONBPRES,DRAWDOWN,DEPTH,WELLMODEL,CONJPOS,CONIPOS,CONKPOS,CONIDX,PRESSURE,WELL
-3.214024324460496e-10,1.0,2018-04-28,279.80517578125,0,1684.4830322265625,STANDARD,20,31,1,1,279.80517578125,R_A5
-9.395752231800003e-11,1.0,2018-04-28,280.0076599121094,0,1686.6392822265625,STANDARD,20,31,2,2,280.0076599121094,R_A5
-3.309134632978328e-10,1.0,2018-04-28,280.2116394042969,0,1688.7955322265625,STANDARD,20,31,3,3,280.2116394042969,R_A5
-3.5115527152740356e-10,1.0,2018-04-28,280.4156494140625,0,1690.9517822265625,STANDARD,20,31,4,4,280.4156494140625,R_A5
-3.3645369823531723e-10,1.0,2018-04-28,280.6197204589844,0,1693.1080322265625,STANDARD,20,31,5,5,280.6197204589844,R_A5
-2.7907415267591773e-10,1.0,2018-04-28,280.8236389160156,0,1695.2642822265625,STANDARD,20,31,6,6,280.8236389160156,R_A5
-1.5918761100963685e-11,1.0,2018-04-28,281.3266906738281,0,1697.4205322265625,STANDARD,20,31,7,7,281.3266906738281,R_A5
-2.114171684941546e-12,1.0,2018-04-28,281.54449462890625,0,1699.5767822265625,STANDARD,20,31,8,8,281.54449462890625,R_A5
-5.722061019453051e-11,1.0,2018-04-28,280.44024658203125,0,1694.683349609375,STANDARD,21,31,8,9,280.44024658203125,R_A5
-6.419568869542314e-12,1.0,2018-04-28,280.7748107910156,0,1697.0916748046875,STANDARD,21,31,9,10,280.7748107910156,R_A5
-2.035907250078073e-12,1.0,2018-04-28,279.0464782714844,0,1701.7169189453125,STANDARD,21,31,11,11,279.0464782714844,R_A5
-2.7416432839266758e-12,1.0,2018-04-28,279.2607727050781,0,1703.7421875,STANDARD,21,31,12,12,279.2607727050781,R_A5
-1.5026978413771458e-13,1.0,2018-04-28,279.46527099609375,0,1705.7674560546875,STANDARD,21,31,13,13,279.46527099609375,R_A5
-1.6880836734966403e-13,1.0,2018-04-28,279.6586608886719,0,1707.792724609375,STANDARD,21,31,14,14,279.6586608886719,R_A5
-5.958298768650797e-14,1.0,2018-04-28,279.8526306152344,0,1709.8179931640625,STANDARD,21,31,15,15,279.8526306152344,R_A5
-8.467487677004965e-15,1.0,2018-04-28,280.1969909667969,0,1711.84326171875,STANDARD,21,31,16,16,280.1969909667969,R_A5
-1.0542093287462927e-14,1.0,2018-04-28,280.3977355957031,0,1713.8653564453125,STANDARD,21,31,17,17,280.3977355957031,R_A5
-4.376499383300933e-15,1.0,2018-04-28,280.52813720703125,0,1715.205810546875,STANDARD,21,31,18,18,280.52813720703125,R_A5
0.0,1.0,2018-04-28,280.57861328125,0,1715.724609375,STANDARD,21,31,19,19,280.57861328125,R_A5
-5.965915966538865e-14,1.0,2018-04-28,284.83880615234375,0,1717.0191650390625,STANDARD,21,31,25,20,284.83880615234375,R_A5
-2.817777241192424e-14,1.0,2018-04-28,285.1036682128906,0,1719.2330322265625,STANDARD,21,31,26,21,285.1036682128906,R_A5
-3.352326339162306e-21,1.0,2018-04-28,296.38592529296875,0,1721.44677734375,STANDARD,21,31,27,22,296.38592529296875,R_A5
-9.522719271246064e-23,1.0,2018-04-28,303.6204833984375,0,1723.66064453125,STANDARD,21,31,28,23,303.6204833984375,R_A5
-3.489542780324155e-24,1.0,2018-04-28,306.1055908203125,0,1725.87451171875,STANDARD,21,31,29,24,306.1055908203125,R_A5
0.0,0.3047969937324524,2018-07-03,284.38934326171875,0,1609.060791015625,STANDARD,41,28,1,1,284.38934326171875,R_A3
0.0,0.11854204535484314,2018-07-03,284.5230712890625,0,1611.0703125,STANDARD,41,28,2,2,284.5230712890625,R_A3
0.0,0.14233462512493134,2018-07-03,284.02410888671875,0,1603.873291015625,STANDARD,41,29,3,3,284.02410888671875,R_A3
0.0,0.17497213184833527,2018-07-03,284.16595458984375,0,1605.99755859375,STANDARD,41,29,4,4,284.16595458984375,R_A3
0.0,0.650876522064209,2018-07-03,284.3134765625,0,1608.121826171875,STANDARD,41,29,5,5,284.3134765625,R_A3
0.0,0.65699702501297,2018-07-03,284.5087585449219,0,1610.2459716796875,STANDARD,41,29,6,6,284.5087585449219,R_A3
0.0,0.367019385099411,2018-07-03,284.7660827636719,0,1612.3702392578125,STANDARD,41,29,7,7,284.7660827636719,R_A3
0.0,0.19598057866096497,2018-07-03,284.907958984375,0,1614.494384765625,STANDARD,41,29,8,8,284.907958984375,R_A3
