SGAS,CONIPOS,DRAWDOWN,SWAT,CONKPOS,CONJPOS,WELL,CONBPRES,WELLMODEL,PRESSURE,CONIDX,DATE,DEPTH
0.0,17,0,1.0,18,42,R_A6,307.9904479980469,STANDARD,307.9904479980469,18,2018-01-01,1727.12060546875
0.0,17,0,1.0,25,42,R_A6,307.95208740234375,STANDARD,307.95208740234375,19,2018-01-01,1728.373291015625
0.0,17,0,1.0,26,42,R_A6,308.1167907714844,STANDARD,308.1167907714844,20,2018-01-01,1730.111083984375
0.0,17,0,1.0,27,42,R_A6,308.5872802734375,STANDARD,308.5872802734375,21,2018-01-01,1731.8486328125
0.0,17,0,1.0,28,42,R_A6,308.751953125,STANDARD,308.751953125,22,2018-01-01,1733.5863037109375
0.0,17,0,1.0,29,42,R_A6,308.6108703613281,STANDARD,308.6108703613281,23,2018-01-01,1735.323974609375
0.0,22,0,0.056219521909952164,1,30,R_A2,298.72772216796875,STANDARD,298.72772216796875,1,2018-03-01,1641.3486328125
0.0,22,0,0.05780559033155441,2,30,R_A2,298.8448486328125,STANDARD,298.8448486328125,2,2018-03-01,1643.096435546875
0.0,22,0,0.06249703839421272,3,30,R_A2,298.9619140625,STANDARD,298.9619140625,3,2018-03-01,1644.8441162109375
0.0,22,0,0.06730619072914124,4,30,R_A2,299.0790100097656,STANDARD,299.0790100097656,4,2018-03-01,1646.5919189453125
0.0,22,0,0.06990094482898712,5,30,R_A2,299.1961364746094,STANDARD,299.1961364746094,5,2018-03-01,1648.339599609375
0.0,22,0,0.30524954199790955,6,30,R_A2,299.324462890625,STANDARD,299.324462890625,6,2018-03-01,1650.08740234375
0.0,22,0,0.892841100692749,7,30,R_A2,299.4488525390625,STANDARD,299.4488525390625,7,2018-03-01,1651.8350830078125
0.0,22,0,0.8691041469573975,8,30,R_A2,299.5712890625,STANDARD,299.5712890625,8,2018-03-01,1653.582763671875
0.0,22,0,0.8798250555992126,9,30,R_A2,299.6914367675781,STANDARD,299.6914367675781,9,2018-03-01,1655.33056640625
0.0,22,0,0.9052548408508301,10,30,R_A2,299.9629821777344,STANDARD,299.9629821777344,10,2018-03-01,1657.078369140625
0.0,22,0,0.07398144155740738,11,30,R_A2,300.2609558105469,STANDARD,300.2609558105469,11,2018-03-01,1658.966796875
0.0,22,0,0.4556342363357544,13,30,R_A2,300.6720886230469,STANDARD,300.6720886230469,12,2018-03-01,1663.0252685546875
0.0,22,0,0.4926792085170746,14,30,R_A2,300.8082275390625,STANDARD,300.8082275390625,13,2018-03-01,1665.054443359375
0.0,22,0,0.9453826546669006,15,30,R_A2,300.9441833496094,STANDARD,300.9441833496094,14,2018-03-01,1667.0836181640625
0.0,22,0,0.9616502523422241,16,30,R_A2,301.0800476074219,STANDARD,301.0800476074219,15,2018-03-01,1669.11279296875
0.0,22,0,0.9370540976524353,17,30,R_A2,301.2160949707031,STANDARD,301.2160949707031,16,2018-03-01,1671.1419677734375
0.0,22,0,0.9773813486099243,18,30,R_A2,301.3128356933594,STANDARD,301.3128356933594,17,2018-03-01,1672.5849609375
0.0,22,0,0.9864172339439392,18,29,R_A2,301.2902526855469,STANDARD,301.2902526855469,18,2018-03-01,1673.500244140625
-1.8779854970536743e-19,22,0,1.0,25,29,R_A2,302.96075439453125,STANDARD,302.96075439453125,19,2018-03-01,1675.1917724609375
-8.217627734112614e-20,22,0,1.0,26,29,R_A2,303.0843505859375,STANDARD,303.0843505859375,20,2018-03-01,1676.9879150390625
-7.985995836847599e-21,22,0,1.0,27,29,R_A2,303.5440979003906,STANDARD,303.5440979003906,21,2018-03-01,1678.7840576171875
-2.6543830037978854e-21,22,0,1.0,28,29,R_A2,303.7161865234375,STANDARD,303.7161865234375,22,2018-03-01,1680.5802001953125
-7.81569255614775e-22,22,0,1.0,29,29,R_A2,303.8854675292969,STANDARD,303.8854675292969,23,2018-03-01,1682.376220703125
-1.4664265895331097e-12,31,0,1.0,1,20,R_A5,271.3459777832031,STANDARD,271.3459777832031,1,2018-04-28,1686.3897705078125
-1.895346076266624e-12,31,0,1.0,2,20,R_A5,271.5708312988281,STANDARD,271.5708312988281,2,2018-04-28,1688.7652587890625
-1.7876992204277076e-12,31,0,1.0,3,20,R_A5,271.7957763671875,STANDARD,271.7957763671875,3,2018-04-28,1691.140625
-4.776437492054475e-13,31,0,1.0,4,20,R_A5,272.02081298828125,STANDARD,272.02081298828125,4,2018-04-28,1693.51611328125
