SWAT,DRAWDOWN,DATE,CONJPOS,CONKPOS,CONIDX,CONBPRES,WELL,SGAS,DEPTH,PRESSURE,WELLMODEL,CONIPOS
1.0,0,2018-03-01,29,26,20,303.158935546875,R_A2,-2.1095388077433525e-13,1676.55859375,303.158935546875,STANDARD,22
1.0,0,2018-03-01,29,27,21,303.2810974121094,R_A2,-5.399735446200413e-17,1678.360107421875,303.2810974121094,STANDARD,22
1.0,0,2018-03-01,29,28,22,303.3991394042969,R_A2,-1.8136808432951988e-16,1680.1614990234375,303.3991394042969,STANDARD,22
1.0,0,2018-03-01,29,29,23,303.8385009765625,R_A2,-2.855100943331885e-15,1681.9630126953125,303.8385009765625,STANDARD,22
1.0,0,2018-03-01,29,30,24,304.00482177734375,R_A2,-4.924102689689931e-16,1683.764404296875,304.00482177734375,STANDARD,22
1.0,0,2018-04-28,20,1,1,281.35552978515625,R_A5,-3.239879753369479e-10,1686.193115234375,281.35552978515625,STANDARD,31
1.0,0,2018-04-28,20,2,2,281.5611572265625,R_A5,-3.1150054757844714e-10,1688.365234375,281.5611572265625,STANDARD,31
1.0,0,2018-04-28,20,3,3,281.7667541503906,R_A5,-3.0512506410396156e-10,1690.537353515625,281.7667541503906,STANDARD,31
1.0,0,2018-04-28,20,4,4,281.97235107421875,R_A5,-3.05682423817899e-10,1692.70947265625,281.97235107421875,STANDARD,31
1.0,0,2018-04-28,20,5,5,282.177978515625,R_A5,-2.612627614251295e-10,1694.8817138671875,282.177978515625,STANDARD,31
1.0,0,2018-04-28,20,6,6,282.3835754394531,R_A5,-2.0204185546823794e-10,1697.0538330078125,282.3835754394531,STANDARD,31
1.0,0,2018-04-28,20,7,7,282.9122619628906,R_A5,-1.6863453992585486e-12,1699.22607421875,282.9122619628906,STANDARD,31
1.0,0,2018-04-28,20,8,8,283.3323669433594,R_A5,-7.51888308558879e-12,1701.398193359375,283.3323669433594,STANDARD,31
1.0,0,2018-04-28,20,11,9,277.100341796875,R_A5,-4.570356246236251e-12,1707.813232421875,277.100341796875,STANDARD,31
1.0,0,2018-04-28,21,11,10,275.3316345214844,R_A5,-2.0824739502267597e-11,1699.1796875,275.3316345214844,STANDARD,31
1.0,0,2018-04-28,21,12,11,275.4972839355469,R_A5,-1.3836770271224985e-11,1701.2044677734375,275.4972839355469,STANDARD,31
1.0,0,2018-04-28,21,13,12,275.58563232421875,R_A5,-3.3755559553694045e-18,1703.2291259765625,275.58563232421875,STANDARD,31
1.0,0,2018-04-28,21,14,13,275.90020751953125,R_A5,-8.359151587068736e-13,1705.2537841796875,275.90020751953125,STANDARD,31
1.0,0,2018-04-28,21,15,14,276.1235046386719,R_A5,-2.3973385126010993e-13,1707.2784423828125,276.1235046386719,STANDARD,31
1.0,0,2018-04-28,21,16,15,276.4985656738281,R_A5,-5.15956567292801e-14,1709.3031005859375,276.4985656738281,STANDARD,31
1.0,0,2018-04-28,21,17,16,276.7141418457031,R_A5,-5.119678552628626e-14,1711.3277587890625,276.7141418457031,STANDARD,31
1.0,0,2018-04-28,21,18,17,276.8735046386719,R_A5,-9.062911689563038e-14,1712.8961181640625,276.8735046386719,STANDARD,31
1.0,0,2018-04-28,21,19,18,276.9393615722656,R_A5,0.0,1713.583984375,276.9393615722656,STANDARD,31
1.0,0,2018-04-28,21,26,19,279.51031494140625,R_A5,-3.0262215801844794e-13,1714.868896484375,279.51031494140625,STANDARD,31
1.0,0,2018-04-28,21,27,20,279.7308349609375,R_A5,-1.0518343330654864e-13,1717.175048828125,279.7308349609375,STANDARD,31
