SGAS,CONIDX,WELL,WELLMODEL,CONBPRES,CONJPOS,SWAT,CONIPOS,DEPTH,PRESSURE,CONKPOS,DRAWDOWN,DATE
0.0,16,R_A3,STANDARD,285.3934631347656,41,0.7933729290962219,29,1630.9761962890625,285.3934631347656,16,0,2018-07-03
0.0,17,R_A3,STANDARD,285.2025451660156,41,0.7852190136909485,29,1631.97412109375,285.2025451660156,17,0,2018-07-03
0.0,18,R_A3,STANDARD,283.96307373046875,41,0.18165890872478485,29,1633.9676513671875,283.96307373046875,27,0,2018-07-03
0.0,19,R_A3,STANDARD,284.2269592285156,41,0.047549229115247726,29,1637.5804443359375,284.2269592285156,28,0,2018-07-03
0.0,20,R_A3,STANDARD,284.4683837890625,41,0.08616088330745697,29,1641.193115234375,284.4683837890625,29,0,2018-07-03
0.0,21,R_A3,STANDARD,284.7285461425781,41,0.6832805275917053,29,1644.805908203125,284.7285461425781,30,0,2018-07-03
0.0,22,R_A3,STANDARD,284.96685791015625,41,0.06778689473867416,29,1648.4188232421875,284.96685791015625,31,0,2018-07-03
0.0,1,R_A4,STANDARD,275.5207214355469,52,0.054259076714515686,30,1631.2203369140625,275.5207214355469,1,0,2018-09-12
0.0,2,R_A4,STANDARD,275.36083984375,52,0.04961313679814339,31,1625.33056640625,275.36083984375,1,0,2018-09-12
0.0,3,R_A4,STANDARD,275.4938659667969,52,0.05168450251221657,31,1627.326904296875,275.4938659667969,2,0,2018-09-12
0.0,4,R_A4,STANDARD,275.62689208984375,52,0.05199301242828369,31,1629.3232421875,275.62689208984375,3,0,2018-09-12
0.0,5,R_A4,STANDARD,275.7598571777344,52,0.05376865342259407,31,1631.3194580078125,275.7598571777344,4,0,2018-09-12
0.0,6,R_A4,STANDARD,275.8928527832031,52,0.05639753118157387,31,1633.3157958984375,275.8928527832031,5,0,2018-09-12
0.0,7,R_A4,STANDARD,276.0038757324219,52,0.6497405171394348,31,1635.3121337890625,276.0038757324219,6,0,2018-09-12
